Авіаційна, вул., укр
Амосова академіка, вул., укр
Анатолія Луценка, вул., укр
Армії УНР, вул., укр
Базова, вул., укр
Бандери Степана, вул., укр
Барбона Миколи, пров., укр
Батуринська, вул., укр
Белодубравна, вул., укр
Березнева, вул., укр
Березова, вул., укр
Биківнянська, вул., укр
Білана Олександра, вул., укр
Білодібровна, вул., укр
Білокур Катерини, вул., укр
Благодатна, вул., укр
Благодатний, пров., укр
Блока, вул., укр
Богдана Хмельницького, вул., укр
Богомольця академіка, вул., укр
Богуна Івана, вул., укр
Болбочана Петра, вул., укр
Большаченка, вул., укр
Броварської сотні, вул., укр
Будівельників, вул., укр
Бузкова, вул., укр
Вавілова, пров., укр
Василя Кричевського, пров., укр
Вербна, вул., укр
Вереснева, вул., укр
Весняна, вул., укр
Виговського, вул., укр
Винниченка, вул., укр
Винниченка, пров., укр
Виробнича, вул., укр
Вишнева, вул., укр
Вишні, пров., укр
Воїнів-афганців, вул., укр
Вокзальна, вул., укр
Вокзальний, пров., укр
Володимира Великого, вул., укр
Волошкова, вул., укр
Гагаріна, вул., укр
Гайдамацька, вул., укр
Галагана, вул., укр
Гамалія, вул., укр
Гасин Ольги, вул., укр
Гельсінської групи, вул., укр
Геологів, вул., укр
Героїв Небесної Сотні, вул., укр
Героїв УПА, вул., укр
Герцена, вул., укр
Гетьманська, вул., укр
Глінки, вул., укр
Гоголя, вул., укр
Голуба Аркадія, вул., укр
Гонти Івана, вул., укр
Гонти, вул., укр
Гончаренка Аверкія, вул., укр
Гордієнка Костя, вул., укр
Грушевського, вул., укр
Дарвіна, пров., укр
Дворянець Антоніни, вул., укр
Декабристів, вул., укр
Деснянський, пров., укр
Дніпровська, вул., укр
Довженка, вул., укр
Дорошенка, вул., укр
Драгоманова, вул., укр
Драгоманова, пров., укр
Дружби, вул., укр
Електриків, вул., укр
Єдності, вул., укр
Єсеніна, вул., укр
Жукова, вул., укр
Завірюхіна Ігоря, вул., укр
Заводська, вул., укр
Зазимський шлях, вул., укр
Залізнична, вул., укр
Заньковецької, вул., укр
Запорізька, вул., укр
Запорізької Січі, вул., укр
Зелена, вул., укр
Зеленського Євгенія, вул., укр
Зіркова, вул., укр
Злагоди, вул., укр
Івана Пулюя, вул., укр
Калнишевського Петра, вул., укр
Кармелюка, вул., укр
Каштанова, вул., укр
Квітнева, вул., укр
Київська, вул., укр
Київської Русі, вул., укр
Кириченка Василя, вул., укр
Княгині Ольги, вул., укр
Княжа, вул., укр
Княжицька, вул., укр
Кобзарська, вул., укр
Кобилянської, вул., укр
Козацька, вул., укр
Коновальця Євгена, вул., укр
Конощенка Володимира, вул., укр
Кооперативна, вул., укр
Короленка, пров., укр
Короленко, бульв., укр
Короленко, вул., укр
Корольова, вул., укр
Космонавтів, вул., укр
Костири Сафронія, вул., укр
Костомарова Миколи, вул., укр
Коцюбинського, вул., укр
Красилівська, вул., укр
Куйбишева, вул., укр
Куліша, вул., укр
Лагунової, вул., укр
Левадівська, вул., укр
Леонтовича, вул., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Лисенка, вул., укр
Лідице, вул., укр
Лісова, вул., укр
Ломоносова, вул., укр
Лугова, вул., укр
Львівська, вул., укр
Мазепи Івана, вул., укр
Майбороди, вул., укр
Максимовича Михайла, вул., укр
Маяковського, вул., укр
Мейса Джеймса, вул., укр
Мельника Михайла, вул., укр
Металургів, вул., укр
Механізаторів, пров., укр
Миколаївка, вул., укр
Миру, вул., укр
Михайла Вербицького, вул., укр
Міхновського Миколи, вул., укр
Мічуріна, вул., укр
Молодіжна, вул., укр
Москаленка Сергія, вул., укр
Незалежності, бульв., укр
Незалежності, вул., укр
Некрасова, вул., укр
Оболонський, пров., укр
Оболонського, вул., укр
Озерний, пров., укр
Олійника Степана, вул., укр
Олімпійська, вул., укр
Онезький, пров., укр
Оникієнка Олега, вул., укр
Орлика Пилипа, вул., укр
Остряниці Якова, вул., укр
Павлова, вул., укр
Панаса Мирного, вул., укр
Парковий, пров., укр
Переяславський шлях, вул., укр
Перонна, вул., укр
Петлюри Симона, вул., укр
Петра Могили, вул., укр
Петропавлівська, вул., укр
Пирогова, пров., укр
Підлісна, вул., укр
Підлісний, пров., укр
Підривницька, вул., укр
Піщаний, пров., укр
Пластунська, вул., укр
Покровська, вул., укр
Полуботка Павла, вул., укр
Поповича, вул., укр
Поштовий, вул., укр
Приймаченко Марії, вул., укр
Прилуцька, вул., укр
Проліскова, вул., укр
Пушкіна, вул., укр
Радгоспна, вул., укр
Радистів, вул., укр
Рокосовського, вул., укр
Ружного Михайла, вул., укр
Русанівська, вул., укр
Русановича, вул., укр
Савченка Володимира, вул., укр
Сверстюка Євгена, вул., укр
Серова, вул., укр
Сєдова, вул., укр
Симиренка Платона, пров., укр
Симоненка, вул., укр
Сірка, вул., укр
Січових Стрільців, вул., укр
Сковороди, вул., укр
Слуцька, вул., укр
Сонячна, вул., укр
Спортивна, вул., укр
Староміський, пров., укр
Старо-Троіцька, вул., укр
Старотроїцька, вул., укр
Старотроїцький, пров., укр
Старченка, вул., укр
Степана Разина, вул., укр
Стефаника, вул., укр
Суворова, вул., укр
Сушка Романа, вул., укр
Тихий, пров., укр
Толстого, вул., укр
Тополина, вул., укр
Тракторний, пров., укр
Трояндова, вул., укр
Тургенєва, вул., укр
Удовиченка Олександра, пров., укр
Фабрична, вул., укр
Фельдмана, вул., укр
Фіалковського, вул., укр
Філатова, вул., укр
Фонтене-су-Буа, вул., укр
Франка, вул., укр
Холодільний, пров., укр
Центральної Ради, вул., укр
