14 декабря, ул., рус
1-я Пригородная, ул., рус
2 Пригородная, ул., рус
2 Украинского фронта, ул., рус
2-го Украинского фронта, ул., рус
2-я Пригородная, ул., рус
30 Победы, ул., рус
30-летия Победы, ул., рус
38 армии, ул., рус
38-й армии, ул., рус
II-я Пригородная, ул., рус
I-я Пригородная, ул., рус
Абрикосовая, ул., рус
Автомобилистов, ул., рус
Айвазовского, ул., рус
Академика Королева, ул., рус
Академика Сергея Ефремова, ул., рус
Алексея Панчинка, ул., рус 
Анатолия Лупиноса, ул., рус
Архитектора Городецкого, ул., рус
Атамановского, ул., рус
Балакирева, ул., рус
Бегучая, ул., рус
Белоцерковский, спуск, рус
Береговая, ул., рус
Благовестная, ул., рус
Богдана Хмельницкого, ул., рус
Бориса Захарченко, ул., рус
Бородина, ул., рус
Братьев Савченко, ул., рус
Буркацкого, ул., рус
Быдгощская, ул., рус
Василисы, ул., рус
Василицька, ул., рус
Вернигоры, ул., рус
Верхняя Горовая, ул., рус
Веселая, ул., рус
Виктора Бабанского, ул., рус
Вишневая, ул., рус
Владимира Ложешникова, ул., рус
Волкова, ул., рус
Ворошилова, ул., рус
Восточная, ул., рус
Выталия вергая, ул., рус
Вячеслава Галвы, ул., рус
Вячеслава Чорновола, ул., рус
Гагарина, ул., рус
Галины Буркацкого, ул., рус
Гвардейская, ул., рус
Генерала Коротеева, ул., рус
Генерала Путейка, ул., рус
Генерала Рыбалка, ул., рус
Геренала Момота, ул., рус
Героев Днепра, ул., рус
Героев Холодного Яра, ул., рус
Героев Чернобыля, ул., рус
Героев Майдана, ул., рус
Геронимовская, ул., рус
Герцена, ул., рус
Гетмана Косинского, ул., рус
Гетьмана Сагайдачного, ул., рус
Глебова, ул., рус
Глинки, ул., рус
Гоголя, ул., рус
Грецкий, спуск, рус
Грибная, ул., рус
Грибоедова, ул., рус
Григория Сковороды, ул., рус
Гризодубовой, ул., рус
Грузиненко, ул., рус
Гуржиевская, ул., рус
Дахновская, ул., рус
Дачный, спуск, рус
Десантников, ул., рус
Джалиля, ул., рус
Добровольского, ул., рус
Добровольческих Батальонов, ул., рус
Евгения Кухарца, ул., рус
ЕленыТелигы, ул., рус
Ефремова, ул., рус
Железняка, ул., рус
Замковый, спуск, рус
Заречная, ул., рус
Затишна, ул., рус
Звездная, ул., рус
Зелинского, ул., рус
Землеустроительная, ул., рус
Зинченко, ул., рус
Змагайловская, ул., рус
Золотоношская, ул., рус
Ивана Котляревского, ул., рус
Ивана Кулика, ул., рус
Ивана Ле, ул., рус
Ивана Франко, спуск, рус
Ивана Франко, ул., рус
Игоря Бойко, ул., рус
Кавказская, ул., рус
Казацкая, ул., рус
Казбетская, ул., рус
Калиновая, ул., рус
Каневская, ул., рус
Капитана Пилипенко, ул., рус
Капитана Подолянчука, ул., рус
Карбышева, ул., рус
Кибенка, ул., рус
Кобзарская, ул., рус
Композитора Николая Лысенко, ул., рус
Кооперативная, ул., рус
Короленко, ул., рус
Коротеева, ул., рус
Космонавтов, ул., рус
Коцюбинского, ул., рус
Крещатик, ул., рус
Кривалиевская, ул., рус
Кривоноса, ул., рус
Крылова, ул., рус
Курортная, ул., рус
Лазарева, ул., рус
Леси Украинский, ул., рус
Лесная Просека, ул., рус
Лесная, ул., рус
Лесническая, ул., рус
Липовая, ул., рус
Лукьянова, ул., рус
Луценко, ул., рус
Лысенко, ул., рус
Максима Железняка, ул., рус
Максима Кривоноса, ул., рус
Мальовнича, ул., рус
Мельника, ул., рус
Менделеева, ул., рус
Мечникова, ул., рус
Михаила Грушевского, ул., рус
Михаила Максимовича, ул., рус
Михаила Старицкого, ул., рус
Можайского, ул., рус
Молоткова, ул., рус
Мошногорская, ул., рус
Мытницкая, ул., рус
Набережная, ул., рус
Надпильная, ул., рус
Нарбутовская, ул., рус
Нахимова, ул., рус
Небесной сотни, ул., рус
Невского, ул., рус
Негоды, ул., рус
Некрасова, ул., рус
Нечуя-Левицкого, ул., рус
НижняяГоровая, ул., рус
Николая Лысенко, ул., рус
Новая, ул., рус
Новопречистенская, ул., рус
Оборонная, ул., рус
Одесская, ул., рус
Оноприенко, ул., рус
Ореховая, ул., рус
Остафия Дашкевича, ул., рус
Острожной, спуск, рус
Охотничий, спуск, рус
Павла Тычины, ул., рус
Палехи, ул., рус
Парковый, спуск, рус
Пастеровская, ул., рус
Пастеровский, спуск, рус
Пахев Хутор, ул., рус
Пацаева, ул., рус
Пластутевская, ул., рус
Подгорная, ул., рус
Подневича, ул., рус
Подолинского, ул., рус
Пожарный, спуск, рус
Полесская, ул., рус
Полтавская, ул., рус
Поповка, ул., рус
Портовая, ул., рус
Правика, ул., рус
Прапорщиков, ул., рус
Прасловянская, ул., рус
Привокзальная, ул., рус
Припортовая, ул., рус
Промышленная, ул., рус
Путейка, ул., рус
Пушкина, спуск, рус
Пушкина, ул., рус
Репина, ул., рус
Рождественская, ул., рус
Розкопна, ул., рус
Романа, ул., рус
Рустави, ул., рус
Садовая, ул., рус
Самыйли Кышки, ул., рус
Санаторная, ул., рус
Свидивоцкая, ул., рус
