8 Березня, вул., укр
Авіаційна, вул., укр
Амурська, вул., укр
Армійська, вул., укр
Артилерійська, вул., укр
Базарна, вул., укр
Бахмутська, вул., укр
Белякова Ігора, вул., укр
Бєлінського, вул., укр
Бикова Леоніда, вул., укр
Благовіщенська, вул., укр
Благоєва, вул., укр
Блока, вул., укр
Блочна, вул., укр
Богдана Хмельницького, вул., укр
Богуна, вул., укр
Братська, вул., укр
Бурденко, вул., укр
Вавілова, вул., укр
Вереснева, вул., укр
Вишні Остапа, вул., укр
Вільямса, вул., укр
Вітчизняна, вул., укр
Вознесенська, вул., укр
Волгоградська, вул., укр
Вороніжська, вул., укр
Восточна, вул., укр
Гаврилівська, вул., укр
Гастелло, вул., укр
Гвардійська, вул., укр
Героїв Підпільників, вул., укр
Герцена, вул., укр
Гоголя, вул., укр
Гончара, вул., укр
Горбатова, вул., укр
Горького, вул., укр
Грєбєнюка, вул., укр
Грибоєдова, вул., укр
Гріна, вул., укр
Громова, вул., укр
Дарвіна, вул., укр
Декабристів, вул., укр
Депутатська, вул., укр
Джерельна, вул., укр
Дніпровська, вул., укр
Добролюбова, вул., укр
Донська, вул., укр
Дружби, вул., укр
Дубініна, вул., укр
Енгельса, вул., укр
Жертв Революціі, вул., укр
Житомирська, вул., укр
Залізнична, вул., укр
Запорізька, вул., укр
Зарічна, вул., укр
Затишна, вул., укр
Зелена, вул., укр
Зоі Космодем'янськой, вул., укр
Зубарева, вул., укр
Індустріальна, вул., укр
Інтернаціональна, вул., укр
Кайди, вул., укр
Калинова, вул., укр
Каралєнко, вул., укр
Карбишева, вул., укр
Карла Лібкнехта, вул., укр
Карла Лібнехта, вул., укр
Карла Маркса, вул., укр
Каховська, вул., укр
Келдиша, вул., укр
Київська, вул., укр
Кирпична, вул., укр
Кісловодська, вул., укр
Клубна, вул., укр
Коваленка, вул., укр
Кожедуба Івана, вул., укр
Козака Дружка, вул., укр
Козацька, вул., укр
Колективна, вул., укр
Комарова, вул., укр
Коненкова, вул., укр
Коростоянова, вул., укр
Коростояновой, вул., укр
Косарєва, вул., укр
Космонавтів, вул., укр
Костіна Лазера, вул., укр
Костянтинівська, вул., укр
Котляревського, вул., укр
Кошевого, вул., укр
Кошелева, вул., укр
Краснодонців, вул., укр
Криворожська, вул., укр
Крилова, вул., укр
Кримська, вул., укр
Кузнечна, вул., укр
Кузнєцова, вул., укр
Купріянова, вул., укр
Курська, вул., укр
Курчатова, вул., укр
Кустонайська, вул., укр
Кутузова, вул., укр
Лебедина, вул., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Лєваневського, вул., укр
Лєванєвського, вул., укр
Лисневська, вул., укр
Лізи Чайкіної, вул., укр
Лізи Чайкіной, вул., укр
Лісна, вул., укр
Ломоносова, вул., укр
Лугова, вул., укр
Львівська, вул., укр
Макаренко, вул., укр
Малоземельців, вул., укр
Мальцева, вул., укр
Маріі Демченко, вул., укр
Маріупольська, вул., укр
Матросова, вул., укр
Маханько, вул., укр
Машинобудівників, вул., укр
Маяковського, вул., укр
Мелітопольська, вул., укр
Менделеева, вул., укр
Механізаторів, вул., укр
Мира, вул., укр
Миргородська, вул., укр
Мінська, вул., укр
Молодіжна, вул., укр
Молоково, вул., укр
Московська, вул., укр
Народна, вул., укр
Нахімова, вул., укр
Некрасова, вул., укр
Нелідова, вул., укр
Нова, вул., укр
Новгородська, вул., укр
Ново-Кирпична, вул., укр
Новосадова, вул., укр
Новосибірська, вул., укр
Новосільська, вул., укр
Обручева, вул., укр
Обухова, вул., укр
Огородня, вул., укр
Одеська, вул., укр
Олега Кошевого, вул., укр
Олімпійська, вул., укр
Орловська, вул., укр
Оросітельна, вул., укр
Откаленко, вул., укр
Павлова, вул., укр
Парижськой Комуни, вул., укр
Паризької Комуни, вул., укр
Пасічна, вул., укр
Паторжинського, вул., укр
Паши Ангеліної, вул., укр
Педагогічна, вул., укр
Перемоги, вул., укр
Переяслівська, вул., укр
Першогвардійців, вул., укр
Пєтліна, вул., укр
Пилипа Орлика, вул., укр
Піддубного, вул., укр
Пірогова, вул., укр
Плєханова, вул., укр
Покровська, вул., укр
Польова, вул., укр
Попова, вул., укр
Потьомкіна, вул., укр
Поштова, вул., укр
Правди, вул., укр
Привітна, вул., укр
Привокзальна, вул., укр
Промислова, вул., укр
Проточна, вул., укр
Прощаєва, вул., укр
Пугачева, вул., укр
Пушкіна, вул., укр
П'ятигорська, вул., укр
Ремесляна, вул., укр
Рєпіна, вул., укр
Річна, вул., укр
Робітнича, вул., укр
Рози Люксембург, вул., укр
Ростовська, вул., укр
Руссіянова, вул., укр
Сагайдачного, вул., укр
Саксаганського, вул., укр
Салтикова, вул., укр
Самарська, вул., укр
Сахненка, вул., укр
Сахненко, вул., укр
Світла, вул., укр
Свободи, вул., укр
Святогірська, вул., укр
Севастопольська, вул., укр
Сєвастопольська, вул., укр
Сєвєрна, вул., укр
Сємашко, вул., укр
Сєрова, вул., укр
Сільська, вул., укр
Слобожанська, вул., укр
Слов'янська, вул., укр
Сметаніна, вул., укр
Смоленська, вул., укр
Соборна, вул., укр
Солідарності, вул., укр
Солнечна, вул., укр
Соціалістична, вул., укр
Стадіонна, вул., укр
Станіславського, вул., укр
Стаханова, вул., укр
Степана Разіна, вул., укр
Степна, вул., укр
Степова, вул., укр
Стефаника, вул., укр
Стефаніка, вул., укр
Суворова, вул., укр
Сумська, вул., укр
Сурікова, вул., укр
Тамбовська, вул., укр
Танкістов, вул., укр
Твардовського, вул., укр
Тверська, вул., укр
Театральна, вул., укр
Тельмана, вул., укр
Тихого, вул., укр
Тичини, вул., укр
Тімірязєва, вул., укр
Товстого, вул., укр
Толбухіна, вул., укр
Толстого, вул., укр
Тополина, вул., укр
Торецька, вул., укр
Трояндова, вул., укр
Трудова, вул., укр
Тульська, вул., укр
Туполєва, вул., укр
Ушакова, вул., укр
Фестивальна, вул., укр
Філатова, вул., укр
Франка, вул., укр
Хабаровська, вул., укр
Харківська, вул., укр
Циолковського, вул., укр
Чайковського, вул., укр
Челюскіна, вул., укр
Червона, вул., укр
Чернишевського, вул., укр
Чернігівська, вул., укр
Чехова, вул., укр
Чкалова, вул., укр
Шахтарська, вул., укр
Шевченка, вул., укр
Шефська, вул., укр
Щаслива, вул., укр
Ювілейна, вул., укр
Южна, вул., укр
Яковлівська, вул., укр
Ярослава Мудрого, вул., укр
Азовський, пров., укр
Брянський, пров., укр
Западний, пров., укр
Ліманський, пров., укр
Майський, пров., укр
Парковий, пров., укр
Перепокопський, пров., укр
Полтавський, пров., укр
Проточний, пров., укр
Ялтинський, пров., укр
