1 травня, вул., укр
1 Український, пров., укр
10 Лінія, вул., укр
2 лінія, вул., укр
3 лінія, вул., укр
4 лінія, вул., укр
6 лінія, вул., укр
74 Стрілецької дивізіі, вул., укр
8 березня, вул., укр
8-го Березня, вул., укр
9 лінія, вул., укр
Авіаконструктора Антонова, вул., укр
Багірова, вул., укр
Білокур, вул., укр
Бучанська, вул., укр
Бучанський, пров., укр
Варшавська, вул., укр
Ватутіна, вул., укр
Вериківського, вул., укр
Виговського, вул., укр
Висока, вул., укр
Висоцького, вул., укр
Ворзельський, пров., укр
Гагаріна, вул., укр
Гайдамацька, вул., укр
Гайдамацького, пров., укр
Героїв, вул., укр
Героїв, пров., укр
Гнатюка, пров., укр
Гоголя, вул., укр
Гончара, вул., укр
Гостомельське, шосе
Грибоєдова, вул., укр
Громадянська, вул., укр
Громадянський, пров., укр
Гуцала, вул., укр
Давидчука, вул., укр
Дачна, вул., укр
Дем'яна Попова, вул., укр
Довженка, вул., укр
Донецька, вул., укр
Достоєвського, вул., укр
Достоєвського, пров., укр
другий Український, пров., укр
Єрощенка, вул., укр
Єсеніна, вул., укр
Зарічна, вул., укр
Зелена, вул., укр
Зої Алієвої, вул., укр
Зої Алієої, вул., укр
І північний, тупік
ІІ північний, тупік
Інтернаціональна, вул., укр
Капітана Зайцева, вул., укр
Квіткова, вул., укр
Київська, вул., укр
Київський, пров., укр
Кірічека, вул., укр
Котляревського, вул., укр
Кочура, вул., укр
Кошевого, вул., укр
Кулиняка, вул., укр
Курортна, вул., укр
Лермонтова, вул., укр
Лермонтова, пров., укр
Лесі Українки, вул., укр
Лисенка, вул., укр
Лисенка, пров., укр
Личака, вул., укр
Лісова, вул., укр
Ломоносова, вул., укр
Ломоносова, пров., укр
Лугова, вул., укр
Львівська, вул., укр
Макаренка, вул., укр
Максима Рильського, вул., укр
Малишка, пров., укр
Матросова, вул., укр
Мечнікова, вул., укр
Миру, вул., укр
Михайла Рильського, пров., укр
Михайловська, вул., укр
Михайловський, пров., укр
Мінеральна, вул., укр
Натана Рибака, вул., укр
Незалежності, вул., укр
Некрасова, вул., укр
Ніжинська, вул., укр
Ново- Ірпінська, вул., укр
Ново-Оскольська, вул., укр
Озерна, вул., укр
Озерний, пров., укр
Орлика, вул., укр
Павленка, вул., укр
Петрусенко, вул., укр
Південна, вул., укр
Північна, вул., укр
Північний, пров., укр
Підгірна, вул., укр
Пісочна, вул., укр
Покровська, вул., укр
Полтавська, вул., укр
Поповича, вул., укр
Привокзальна, пл., укр
Пушкінська, вул., укр
Революції, пров., укр
Річний, пров., укр
Сагайдачного, вул., укр
Садова, вул., укр
Садовий, пров., укр
Северинівська, вул., укр
Сім'ї Шкарівських, вул., укр
Сковороди, вул., укр
Слов'янська, вул., укр
Соборна, вул., укр
Сонячна, вул., укр
Сосніних, вул., укр
Спартака, вул., укр
Стельмаха, вул., укр
Степанівська, вул., укр
Східна, вул., укр
Тищенка, вул., укр
Толстого, вул., укр
Троїцька, вул., укр
Тургенєва, вул., укр
Тургенєвська, вул., укр
Українська, вул., укр
Університетська, вул., укр
Франка, вул., укр
Франка, пров., укр
Хмельницького Богдана, вул., укр
Центральна, вул., укр
Чайковського, вул., укр
Чехова, вул., укр
Шевченка, вул., укр
Щаслива, вул., укр
Яблунева, вул., укр
Яблуневий, пров., укр
Ярославська, вул., укр

