8-го Марта, пер., рус
Абрикосовый, пер., рус
Александра Билаша, ул., рус
Александра Печерского, ул., рус
Богуна, ул., рус
Ватутина, ул., рус
Вишнёвый, проезд, рус
Гагарина, ул., рус
Гастелло, ул., рус
Герцена, пер., рус
Гетмана Полуботка, ул., рус
Горького, ул., рус
Госпитальная, ул., рус
Грушевского, ул., рус
Даниила Галицкого, ул., рус
Добролюбова, пер., рус
Европейская, ул., рус
Железнодорожная, ул., рус
Заводская, ул., рус
Заречная, ул., рус
Ивана Мазепы, ул., рус
Ивана Франко, ул., рус
Франко, ул., рус
Игоря Сердюка, ул., рус
Изобретателей Быковых, пер., рус
Индустриальная, ул., рус
Индустриальный, пер., рус
Кобзарская, ул., рус
Князей Кориатовичей, ул., рус
Котляревского, ул., рус
Кузнечная, ул., рус
Лейтенанта Днепрова, наб., рус
Лейтенанта Шмидта, ул., рус
Лермонтова, ул., рус
Лесной, пер., рус
Лысенко, пер., рус
Лысенко, пер., рус
Майский, проезд, рус
Марка Вовчка, ул., рус
Матросова, ул., рус
Михаила Старицкого, проезд, рус
Михайловский, пер., рус
Мичурина, ул., рус
Мичурина, ул., рус
Молодёжная, ул., рус
Нигинское, шоссе, рус
Небесной Сотни, ул., рус
Некрасова, ул., рус
Некрасова, ул., рус
Павлова, ул., рус
Павлова, ул., рус
Панаса Мирного, ул., рус
Первомайская, ул., рус
Петра Калнышевского, ул., рус
Петруся Якова, пер., рус
Победы, ул., рус
Попова, ул., рус
Почтовый, пер., рус
Правобережная, ул., рус
Приозерный, проезд, рус
Садовая, ул., рус
Саксаганского, ул., рус
Северный, пер., рус
Соборная, ул., рус
Софиевская, ул., рус
Старобульварная, ул., рус
Суворова, ул., рус
Счастливая, ул., рус
Трёх Космонавтов, ул., рус
Троицкая, ул., рус
Филиппа Орлика, пер., рус
Чернышевского, пер., рус
Черняховского, ул., рус
Черняховского, ул., рус
Чехова, ул., рус
1-го травня, вул., укр
30-років Перемоги, вул., укр
8-го Березня, вул., укр
9-го травня, вул., укр
Берегова, вул., укр
Берлін, вул., укр
Богуна, вул., укр
Бусигіна, вул., укр
Вали, вул., укр
Васильєва, вул., укр
Ватутіна, вул., укр
Веліканова, вул., укр
Видрівка, вул., укр
Вишнева, вул., укр
Вірменська, вул., укр
Вірменський ринок, вул., укр
Водоп'янова, вул., укр
Войкова, вул., укр
Вокзальна, вул., укр
Воробйова, вул., укр
Вугільна, вул., укр
Вутіша, вул., укр
Гагаріна, вул., укр
Гагенмейстера, вул., укр
Гастелло, вул., укр
Героїв Небесної Сотні, вул., укр
Герцена, вул., укр
Гімназійна, вул., укр
Годованця, вул., укр
Голованевського-Барського, вул., укр
Голосківська, вул., укр
Горького, вул., укр
Горького (Польські Сільварки), вул., укр
Госпітальна, вул., укр
Грабчака, вул., укр
Гуменіська, вул., укр
Гунська, вул., укр
Данила Галицького, вул., укр
Дачна, вул., укр
Дем'яна Бідного, вул., укр
Добролюбова, вул., укр
Довга, вул., укр
Домініканська, вул., укр
Дороніна, вул., укр
Драгоманова, вул., укр
Дружби народів, вул., укр
Желізнодорожна, вул., укр
Жовтнева, вул., укр
