Аральский, пер., рус
Арктическая, ул., рус
Арматурная, ул., рус
Армейская, ул., рус
Армянский, пер., рус
Арсенальная, ул., рус
Артельная, ул., рус
Артельный, пер., рус
Артема, пер., рус
Артема, ул., рус
Артиллерийская, ул., рус
Артиллерийский, пер., рус
Артюховская, ул., рус
Артюховский, пер., рус
Архангельская, ул., рус
Архангельский, пер., рус
Архитекторов, ул., рус
Аскольдовская, ул., рус
Астраханская, ул., рус
Астрономическая, ул., рус
Афанасьевская, ул., рус
Афанасьевский, пер., рус
Ахсарова, ул., рус
Ашхабадская, ул., рус
Ашхабадский, пер., рус
Бабушкина, ул., рус
Баварская, ул., рус
Баварский, пер., рус
Багратиона, пер., рус
Багратиона, ул., рус
Бажова, пер., рус
Базарная, ул., рус
Байдарская, ул., рус
Байкальская, ул., рус
Байрона, пер., рус
Бакинская, ул., рус
Бакулина, ул., рус
Бакунина, пер., рус
Бакунина, ул., рус
Балакирева, пер., рус
Балакирева, ул., рус
Балаклейская, ул., рус
Балаклейский, пер., рус
Балканская, ул., рус
Балтийская, ул., рус
Балхашская, ул., рус
Балхашский, пер., рус
Банковский, пер., рус
Барабашова, ул., рус
Барвенковская, ул., рус
Барвенковский, пер., рус
Барнаульская, ул., рус
Баррикадная, ул., рус
Баррикадный, пер., рус
Бассейная, ул., рус
Батайская, ул., рус
Батайский, пер., рус
Батуринская, ул., рус
Бауманская, ул., рус
Башкирская, ул., рус
Башкирский, пер., рус
Бекетова, ул., рус
Белобровский, пер., рус
Беловежская, ул., рус
Белогорская, ул., рус
Беломорская, ул., рус
Белорусская, ул., рус
Белостокский, пер., рус
Березовская, ул., рус
Берестовая, ул., рус
Беринговый, пер., рус
Бескрайняя, ул., рус
Беспаловский, пер., рус
Бестужева, пер., рус
Бестужева, ул., рус
Бехтерева, пер., рус
Биологическая, ул., рус
Биологический, пер., рус
Благодатная, ул., рус
Блестящий, пер., рус
Блюхера, ул., рус
Бобровка Колхозная, ул., рус
Бобруйская, ул., рус
Богдана Хмельницкого, ул., рус
 Богдана Хмельницкого, пер., рус
