1 Мая, ул., рус
11-я Северная, ул., рус
11-я Текстильная, ул., рус
187 Км
1-я Приднепровская, ул., рус
1-я Промышленная, ул., рус
200 Лет Херсона пр., рус
200 Лет Херсона, пл., рус
200-летия Херсона просп., рус
20-я Восточная, ул., рус
21 Января, ул., рус
24-я Восточная, ул., рус
25-я Восточная, ул., рус
28 Армии, ул., рус
28-й Армии, ул., рус
295 Стрелковой Дивизии, ул., рус
295-й Херсонской Стрелковой Дивизии, ул., рус
29-я Восточная, ул., рус
2-й Арктический, пер., рус
30-я Восточная, ул., рус
33-я Восточная, ул., рус
3-я Полевая, ул., рус
40 Лет Октября, пер., рус
40 Лет Октября, ул., рус
49 Гвардейской Дивизии, ул., рус
49-й Гвардейской Дивизии, ул., рус
4-я Полевая, ул., рус
5-я Западная, ул., рус
6-я Западная, ул., рус
7-я Полевая, ул., рус
8 Березня, ул., рус
9 Січня, ул., рус
9 Января, пер., рус
9 Января, ул., рус
9-я Восточная, ул., рус
9-я Текстильная, ул., рус
Авиаторский, пер., рус
Автомобилистов, ул., рус
Аграрный, пер., рус
Агрономическая, ул., рус
Адмирала Макарова, ул., рус
Аерофлотская, ул., рус
Азовский, пер., рус
Айвазовского, ул., рус
Академика Тарле, ул., рус
Александра Русова, ул., рус
Александровская, ул., рус
Алексеева П., рус, ул., рус
Алексеевская, ул., рус
Алексея Шовкуненко, ул., рус
Антипенко, ул., рус
Арктическая, ул., рус
Арктический 1, пер., рус
Арктический 2, пер., рус
Арктический, пер., рус
Арктична, ул., рус
Артема, ул., рус
Артиллерийская, ул., рус
Артиллерийский, пер., рус
Бабушкина, ул., рус
Баженова, пер., рус
Баженова, ул., рус
Баку, ул., рус
Батарейный, пер., рус
Баумана, пер., рус
Бегмы, ул., рус
Бедного Д., рус, ул., рус
Безродного, ул., рус
Белинского, ул., рус
Белозерская, ул., рус
Белозерский, пер., рус
Белорусская, ул., рус
Береговой Пр-Зд
Бериславский, пер., рус
Бериславское Шоссе
Благоева, ул., рус
Блюхера, ул., рус
Богородицкая, ул., рус
Бойко, ул., рус
Больничный, пер., рус
Бордунова, ул., рус
Бориса Мозолевского, ул., рус
Бородіна, ул., рус
Борщака, ул., рус
Брюллова, ул., рус
Бугский 1, пер., рус
Бугский 2, пер., рус
Буденного, ул., рус
Бурзи, ул., рус
Бурназяна, ул., рус
Бучмы, ул., рус
Быковского, пер., рус
Быковского, ул., рус
Вазова И., русул., рус
Ватутина Пр-Зд
Ватутина, ул., рус
Вахтангова, пер., рус
Вахтангова, ул., рус
Веревчин 1, пер., рус
Веревчин 2, пер., рус
Веревчин 3, пер., рус
Веревчин 4, пер., рус
Веревчин 5, пер., рус
Веревчин 6, пер., рус
Веревчин 7, пер., рус
Веревчин 8, пер., рус
Веревчина, ул., рус
Веселая, ул., рус
Весёлая, ул., рус
Весенний, пер., рус
Видригана, ул., рус
Виннера, ул., рус
Винний, пер., рус
Виноградна 2, ул., рус
Виноградна 3, ул., рус
Виноградна 4, ул., рус
Виноградная 1, ул., рус
Виноградная 2, ул., рус
Виноградная 3, ул., рус
Виноградный, пер., рус
Винрассадник / Кутузова, ул., рус
Високосная 1, ул., рус
Високосная, ул., рус
Високосный, пер., рус
Вишневая, ул., рус
Вишнёвая, ул., рус
Вишневый, пер., рус
Владимира Великого, ул., рус
Водопроводная, ул., рус
Водопроводный 1, пер., рус
Водопроводный 2, пер., рус
Военный Городок
Войкова, ул., рус
Волгоградская, ул., рус
Володимирова, ул., рус
Воронцовская, ул., рус
Ворошилова, ул., рус
Восточная 1, ул., рус
Восточная 10, ул., рус
Восточная 11, ул., рус
Восточная 12, ул., рус
Восточная 13, ул., рус
Восточная 14, ул., рус
Восточная 15, ул., рус
Восточная 16, ул., рус
Восточная 17, ул., рус
Восточная 18, ул., рус
Восточная 19, ул., рус
Восточная 2, ул., рус
Восточная 20, ул., рус
Восточная 21, ул., рус
Восточная 22, ул., рус
Восточная 23, ул., рус
Восточная 24, ул., рус
Восточная 25, ул., рус
Восточная 26, ул., рус
Восточная 27, ул., рус
Восточная 28, ул., рус
Восточная 29, ул., рус
Восточная 3, ул., рус
