1 Травня, вул., укр
128 роз'їзд, вул., укр
13-и Розстріляних, вул., укр
40 років Перемоги, вул., укр
6-о Вересня, вул., укр
8 Березня, вул., укр
8 Березня, пров., укр
9 Січня, вул., укр
9 Травня, вул., укр
93 Стрелкової дивізії, вул., укр
96 Танкової бригади, вул., укр
Абрамова, вул., укр
Агрономічна, вул., укр
Адлерська, вул., укр
Азовська, вул., укр
Акмоленська, вул., укр
Актюбинська, вул., укр
Алтайська, вул., укр
Ананьєвского полку, вул., укр
Ангеліна, вул., укр
Антипіна, вул., укр
Арзамаська, вул., укр
Армавірська, вул., укр
Армійська, вул., укр
Архангельська, вул., укр
Астраханська, вул., укр
Ашхабадська, вул., укр
Бабушкина, пров., укр
Бабушкіна, вул., укр
Байди Вишневецького, вул., укр
Батумська, вул., укр
Бахмутська, вул., укр
Безнощенко, вул., укр
Белинського, вул., укр
Белоруська, вул., укр
Бердянська, вул., укр
Берегова, вул., укр
Берестова, вул., укр
Бійська, вул., укр
Білоусова, вул., укр
Бобильова, вул., укр
Богдана Хмельницького, вул., укр
Богуна, вул., укр
Больнична, вул., укр
Большой, пров., укр
Бориславська, вул., укр
Бородина, вул., укр
Братів Котельникових, вул., укр
Братів Котельнікових, вул., укр
Братська, вул., укр
Брестська, вул., укр
Бригадна, вул., укр
Будьоного, вул., укр
Бузька, вул., укр
Булгакова, вул., укр
Бульварна, вул., укр
Бурденко, вул., укр
Бутилочна, вул., укр
Бухарська, вул., укр
Варшавська, вул., укр
Ватутіна, вул., укр
Верхня Садова, вул., укр
Верхоянська, вул., укр
Весняна, вул., укр
Виноградна, вул., укр
Висока, вул., укр
Високовольтна, вул., укр
Вишнева, вул., укр
Вишневий, пров., укр
Вінницька, вул., укр
Вітебська, вул., укр
Владимирська, вул., укр
Воїнів Інтернаціоналістів, вул., укр
Вокзальна, вул., укр
Волгоградська, вул., укр
Вологодська, вул., укр
Володимира Великого, вул., укр
Володимирська, вул., укр
Волховська, вул., укр
Воровського, вул., укр
Восьмого березня, вул., укр
Вюнецька, вул., укр
Гагаріна, вул., укр
Гастелло, вул., укр
Героїв Праці, вул., укр
Гетьманська, вул., укр
Глебова, вул., укр
Глинки, вул., укр
Гоголя, вул., укр
Головна, вул., укр
Голуба, вул., укр
Гомельська, вул., укр
Гонти, вул., укр
Горбенка, вул., укр
Горіхова, вул., укр
Горького, вул., укр
Графська, вул., укр
Грибоєдова, вул., укр
Грозненська, вул., укр
Громова, вул., укр
Грушевського, вул., укр
Давиденка, вул., укр
Демещенка, вул., укр
Джерельна, вул., укр
Дзержинського, вул., укр
Дзержінського, вул., укр
Дмитро Куропятника, вул., укр
Дніпровська, вул., укр
Добролюбова, вул., укр
Домбровського, вул., укр
Донецька, вул., укр
Дорожна, вул., укр
Дорожня, вул., укр
Дружби, вул., укр
Дружби, пров., укр
Дружковська, вул., укр
Енгельса, вул., укр
Енергетиків, вул., укр
Європейська, вул., укр
Єлецька, вул., укр
Ємел'янова, вул., укр
Єнисейська, вул., укр
Єреванська, вул., укр
Житомирська, вул., укр
Жовтнева, вул., укр
Жовтневої Революції, вул., укр
Заводська, вул., укр
Заводський, пров., укр
Залізнична, вул., укр
Запоріжська, вул., укр
Зарічна, вул., укр
Затишна, вул., укр
Зелена, вул., укр
Злагоди, вул., укр
Знамя Індустрії, вул., укр
Зона, вул., укр
І., укр Федорова, вул., укр
Івана Франка, вул., укр
Іжевська, вул., укр
Ізмаільська, вул., укр
Ізюмська, вул., укр
Інгульська, вул., укр
Інженерна, вул., укр
Ініціатівна, вул., укр
Інтернаціональна, вул., укр
Іркутська, вул., укр
Іртишська, вул., укр
Калініна К., укрО., укр авіаконструктора, вул., укр
Калініна К., укрО., укр авіаконструктора, пров., укр
Калініна, вул., укр
Калмикова, вул., укр
Калмиково, вул., укр
Калужська, вул., укр
Каменовата, вул., укр
Карагандинська, вул., укр
Кар'єрна, вул., укр
Карла Маркса, вул., укр
Каспійська, вул., укр
Квартальна, вул., укр
Квітнева, вул., укр
Квітуча, вул., укр
Кемеровська, вул., укр
Керамічна, вул., укр
Керченська, вул., укр
Київська, вул., укр
Кільцева, вул., укр
Кірова, вул., укр
Ковальська, вул., укр
Ковельська, вул., укр
Ковпака, вул., укр
Кожушко, вул., укр
Козацька, вул., укр
Колгоспна, вул., укр
Колокова, вул., укр
Коломинська, вул., укр
Комарова, вул., укр
Компанійця, вул., укр
Коренькова, вул., укр
Космонавтів, бульв., укр
Костромська, вул., укр
Костюшко, вул., укр
Костянтина Вишневецького, вул., укр
Костянтинівська, вул., укр
Котляревського, вул., укр
Коцюбинського, вул., укр
Краматорська, вул., укр
Краматорський, пров., укр
Краснодарська, вул., укр
Красутського, вул., укр
Кременчугська, вул., укр
Криворізька, вул., укр
Кримська, вул., укр
Кринична, вул., укр
Кристальна, вул., укр
Кузнечна, вул., укр
Кузнічна, вул., укр
Куплевацького, вул., укр
Курганська, вул., укр
Курська, вул., укр
Кустанайська, вул., укр
Кутузова, вул., укр
Леваневського, вул., укр
Леніна, вул., укр
Леніна, просп., укр
Ленінська, вул., укр
Ленського, вул., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Лисенко, вул., укр
Лисичанська, вул., укр
Литейна, вул., укр
Лівобережна, вул., укр
