1905-го года, ул., рус
1-й Библиотечный, тупик, рус
1-й Деповский, пер., рус
1-й Индустриальный, тупик, рус
1-й Литейный, тупик, рус
1-й Малокохновский, тупик, рус
1-й Парковый, пер., рус
29-го Сентября, ул., рус
2-й Библиотечный, тупик, рус
2-й Владимира Вернадского, тупик, рус
2-й Деповский, тупик, рус
2-й Индустриальный, тупик, рус
2-й Кохновский, проезд, рус
2-й Малокохновский, тупик, рус
2-й Песчаный, тупик, рус
2-й Ягодный, проезд, рус
4-й Индустриальный, пер., рус
4-й Малокохновский, тупик, рус
5-й Индустриальный, пер., рус
7-й Индустриальный, пер., рус
7-й Хорольский, тупик, рус
8-го Марта, пер., рус
Абрикосовый, пер., рус
Автобусный, пер., рус
Автозаводская, ул., рус
Академика Герасимовича, ул., рус
Академика Маслова, ул., рус
Александра Билаша, ул., рус
Александра Олеся, пер., рус
Александра Печерского, ул., рус
Алексея Береста, пер., рус
Алексея Древаля, ул., рус
Андреевская, ул., рус
Арсенальная, ул., рус
Арсенальный, проезд, рус
Архипа Тесленко, пер., рус
Аэрофлотская, ул., рус
Багратиона, ул., рус
Баженова, ул., рус
Бассейная, ул., рус
Белецковская, ул., рус
Бетонная, ул., рус
Богуна, ул., рус
Большая, наб., рус
Бондарский, пер., рус
Бориса Чичибабина, ул., рус
Бородинский, пер., рус
Бригадировский, пер., рус
Брюсова, пер., рус
Вагонная, ул., рус
Вагоностроительный, пер., рус
Василия Дитя Колотит, ул., рус
Василия Симоненко, ул., рус
Василия Стефаника, пер., рус
Василия Стуса, пер., рус
Василия Сухомлинского, ул., рус
Ватутина, ул., рус
Великокохновская, ул., рус
Великокохновский, проезд, рус
Весёлый, пер., рус
Виноградная, ул., рус
Вишнёвый, проезд, рус
Владимира Великого, ул., рус
Владимира Винниченко, ул., рус
Владимира Ивасюка, ул., рус
Владимира Черныша, ул., рус
Военная, ул., рус
Военный, пер., рус
Воинов-Интернационалистов, ул., рус
Восточная, ул., рус
Гагарина, ул., рус
Газопроводная, ул., рус
Газопроводный, тупик, рус
Гайдамацкая, ул., рус
Гайдамацкий, пер., рус
Гастелло, ул., рус
Гвардейская, ул., рус
Гвардейский, пер., рус
Генерала Жадова, ул., рус
Генерала Иринеева, ул., рус
Генерала Манагарова, ул., рус
Генерала Родимцева, ул., рус
Героев Крут, ул., рус
Героев русаины, ул., рус
Герцена, пер., рус
Гетмана Полуботка, ул., рус
Гийома Боплана, пер., рус
Глинки, пер., рус
Глобинский, тупик, рус
Гоголя, ул., рус
Гомельский, пер., рус
Горького, ул., рус
