Дружби Народів, бульв., укр
8 Березня, вул., укр
Авіаторів, вул., укр
Агатангела Кримського, вул., укр
Агрономічна, вул., укр
Айвазовського, вул., укр
Андрія Марцинюка, вул., укр
Андрузького, вул., укр
Арцеулова, вул., укр
Баженова, вул., укр
Базарна, вул., укр
Балакирева, вул., укр
Балківська, вул., укр
Балтійська, вул., укр
Баранова, вул., укр
Безіменна, вул., укр
Бенделіані, вул., укр
Березова, вул., укр
Берестечківська, вул., укр
Берестова, вул., укр
Бічна, вул., укр
Богдана Хмельницького, вул., укр
Богомольця, вул., укр
Боженка, вул., укр
Бойка, вул., укр
Боровиковського, вул., укр
Бородіна, вул., укр
Борохівська, вул., укр
Боткіна, вул., укр
Братковського, вул., укр
Брюллова, вул., укр
Будівельників, вул., укр
Вавилова, вул., укр
Валерії Новодворської, вул., укр
Варварівка, вул., укр
Василя Стуса, вул., укр
Ватутіна, вул., укр
Вахтангова, вул., укр
Вербова, вул., укр
Вересая, вул., укр
Верещагіна, вул., укр
Вериківського, вул., укр
Весела, вул., укр
Весняна, вул., укр
Ветеранів, вул., укр
Винниченка, вул., укр
Вишенського, вул., укр
Вишківська, вул., укр
Вишнева, вул., укр
Вишнівецька, вул., укр
Відродження, вул., укр
Вільхова, вул., укр
Вільямса, вул., укр
Вітковського, вул., укр
Воїнів-інтернаціоналістів, вул., укр
Волгоградська, вул., укр
Волинська, вул., укр
Волі, вул., укр
Волноваська, вул., укр
Володимирська, вул., укр
Вороніхіна, вул., укр
В'ячеслава Хурсенка, вул., укр
В'ячеслава Чорновола, вул., укр
Гаврилюка, вул., укр
Гайдамацька, вул., укр
Галшки Гулевичівни, вул., укр
Гастелло, вул., укр
Генерала Шухевича, вул., укр
Георгія Гонгадзе, вул., укр
Героїв УПА, вул., укр
Гірна, вул., укр
Глибока, вул., укр
Глієра, вул., укр
Глінки, вул., укр
Глушець, вул., укр
Гнатюка, вул., укр
Гнідавська, вул., укр
Говорова, вул., укр
Гоголя, вул., укр
Гончарівка, вул., укр
Гончарова, вул., укр
Гордіюк, вул., укр
Горіхова, вул., укр
Городецька, вул., укр
Гостинна, вул., укр
Грабова, вул., укр
Грабовського, вул., укр
Градний узвіз, вул., укр
Гребінки, вул., укр
Грекова, вул., укр
Гречана, вул., укр
Грибоєдова, вул., укр
Григорія Андрузького, вул., укр
Григорія Гуляницького, вул., укр
Гризодубової, вул., укр
Гулака-Артемовського, вул., укр
Гущанська, вул., укр
Далека, вул., укр
Далека А, вул., укр
Данила Галицького, вул., укр
Данила Шумука, вул., укр
Даньшина, вул., укр
Дарвіна, вул., укр
Даргомижського, вул., укр
Дачна, вул., укр
Декабристів, вул., укр
Дмитра Донцова, вул., укр
Дмитра Іващенка, вул., укр
Дністрянського, вул., укр
Добролюбова, вул., укр
Довженка, вул., укр
Докучаєва, вул., укр
Дорошенка гетьмана, вул., укр
Драгоманова, вул., укр
Дубнівська, вул., укр
Дубова, вул., укр
Електроапаратна, вул., укр
Єрмолової, вул., укр
Єршова, вул., укр
Жуковського, вул., укр
Журавлина, вул., укр
Заводська, вул., укр
Загородня, вул., укр
Задворецька, вул., укр
Залізна, вул., укр
Залізнична, вул., укр
Залізняка, вул., укр
Замкова, вул., укр
Заньковецької, вул., укр
Заповітна, вул., укр
Запорізька, вул., укр
Зарічна, вул., укр
Застав'я, вул., укр
Захарова, вул., укр
Західна, вул., укр
Зацепи, вул., укр
Збаразька, вул., укр
Збаразький другий, вул., укр
Зв'язківців, вул., укр
Зелена, вул., укр
Івана Богуна, вул., укр
Івана Виговського, вул., укр
Івана Кожедуба, вул., укр
Івана Огієнка, вул., укр
Ізмайлова, вул., укр
Індустріальна, вул., укр
Іови Кондзелевича, вул., укр
Йосафата Кунцевича, вул., укр
Казакова, вул., укр
Калинова, вул., укр
Караїмська, вул., укр
Карбишева, вул., укр
Кармелюка, вул., укр
Карпенка Карого, вул., укр
Карпенка- Карого, вул., укр
Карпенка-Карого, вул., укр
Кафедральна, вул., укр
Качалова, вул., укр
Каштанова, вул., укр
Квітова, вул., укр
Ківерцівська, вул., укр
Кільцева, вул., укр
Кічкарівська, вул., укр
Кленова, вул., укр
Клима Савура, вул., укр
Княгинінська, вул., укр
Кобилянської, вул., укр
Ковельська, вул., укр
Ковпака, вул., укр
Козацька, вул., укр
Кольцова, вул., укр
Комка, вул., укр
Кондратюка, вул., укр
Коновальця, вул., укр
Конякіна, вул., укр
Кооперативна, вул., укр
Копачівська, вул., укр
Коперника, вул., укр
КопернІка, вул., укр
Корнійчука, вул., укр
Короленка, вул., укр
Корольова, вул., укр
Коротка, вул., укр
Космонавтів, вул., укр
Костопільська, вул., укр
Котляревського, вул., укр
Коцюбинського, вул., укр
Кочерги, вул., укр
Кравчука, вул., укр
Красовського, вул., укр
Кременецька, вул., укр
Кривий Вал, вул., укр
Кривоноса, вул., укр
Крилова, вул., укр
Крушельницької, вул., укр
Купріна, вул., укр
Курська, вул., укр
Курчатова, вул., укр
Кутузова, вул., укр
Ландау, вул., укр
Ланова, вул., укр
Левітана, вул., укр
Леонтовича, вул., укр
Лермонтова, вул., укр
Лесі Українки, вул., укр
Лєскова, вул., укр
Липинського, вул., укр
Липова, вул., укр
Липовецька, вул., укр
Лисенка, вул., укр
Лідавська, вул., укр
Літня, вул., укр
Лобачевського, вул., укр
Ломоносова, вул., укр
Лопатіна, вул., укр
Лугова, вул., укр
Львівська, вул., укр
Лютеранська, вул., укр
Мазепи гетьмана, вул., укр
Макаренка, вул., укр
Макарова, вул., укр
Маковського, вул., укр
Малинова, вул., укр
Малоомелянівська, вул., укр
Мамсурова, вул., укр
Марка Вовчка, вул., укр
Матросова, вул., укр
Мельнична, вул., укр
Менделєєва, вул., укр
Метельницького архітектора, вул., укр
Механічна, вул., укр
Мечникова, вул., укр
Миколи Куделі, вул., укр
Миколи Міхновського, вул., укр
Микулицька, вул., укр
Милуська, вул., укр
Миру, вул., укр
Мисливська, вул., укр
Митрополита Андрея Шептицького, вул., укр
Міліційна, вул., укр
Мінська, вул., укр
Мічуріна, вул., укр
Млинівська, вул., укр
Можайського, вул., укр
Молодогвардійська, вул., укр
Мрії, вул., укр
