10-го Апреля, пл., рус
10-го Апреля, ул., рус
10-летия Красной Армии, ул., рус
10-летия Перекопской Дивизии, ул., рус
10-я Линия, ул., рус
11-я Линия, ул., рус
11-я Суворовская, ул., рус
12-й Черноморский, пер., рус
12-я Линия, ул., рус
13-й Черноморский, пер., рус
13-я Линия, ул., рус
14-я Линия, ул., рус
15-летия Рабоче-Крестьянской Милиции, ул., рус
15-я Линия, ул., рус
16-го Октября, ул., рус
16-я Линия, ул., рус
17-я Линия, ул., рус
18-я Линия, ул., рус
1905-го года, пл., рус
1905-го года, ул., рус
19-го Февраля 1861 года, ул., рус
19-я Линия, ул., рус
1-й 8-го Марта, пер., рус
1-й Александра Невского, пер., рус
1-й Амундсена, пер., рус
1-й Амурский, пер., рус
1-й Аркадийский, пер., рус
1-й Артиллерийский, пер., рус
1-й Аэродромный, пер., рус
1-й Балтский, пер., рус
1-й Бассейный, пер., рус
1-й Богдана Хмельницкого, пер., рус
1-й Водопроводный, пер., рус
1-й Водяной, пер., рус
1-й Дачный, пер., рус
1-й Заливной, пер., рус
1-й Керченский, пер., рус
1-й Кипарисный, пер., рус
1-й Китобойный, пер., рус
1-й Клубничный, пер., рус
1-й Ключевой, пер., рус
1-й Колхозный, пер., рус
1-й Костанди, пер., рус
1-й Крымский, пер., рус
1-й Куликовский, пер., рус
1-й Лазурный, пер., рус
1-й Левитана, пер., рус
1-й Липинский, пер., рус
1-й Локомотивный, пер., рус
1-й Лузановский, пер., рус
1-й Пугачевский, пер., рус
1-й Разумовский, пер., рус
1-й Хрустальный, пер., рус
1-й Чапаевский, пер., рус
1-й Черноморский, пер., рус
1-я Вертолетная, ул., рус
1-я Виноградная, ул., рус
1-я Карла Маркса, ул., рус
1-я Линия, ул., рус
1-я Проектируемая, ул., рус
1-я Сортировочная, ул., рус
Чапаевской дивизии, ул., рус
26-я Линия, ул., рус
27-я Линия, ул., рус
28-я Линия, ул., рус
29-я Линия, ул., рус
2-й 8-го Марта, пер., рус
2-й Александра Невского, пер., рус
2-й Амундсена, пер., рус
2-й Амурский, пер., рус
2-й Аркадийский, пер., рус
2-й Артиллерийский, пер., рус
2-й Аэропортовский, пер., рус
2-й Балтский, пер., рус
2-й Бассейный, пер., рус
2-й Богдана Хмельницкого, пер., рус
2-й Водопроводный, пер., рус
2-й Водяной, пер., рус
2-й Дачный, пер., рус
2-й Керченский, пер., рус
2-й Кипарисный, пер., рус
2-й Китобойный, пер., рус
2-й Клубничный, пер., рус
2-й Ключевой, пер., рус
2-й Колхозный, пер., рус
2-й Костанди, пер., рус
2-й Крымский, пер., рус
2-й Куликовский, пер., рус
2-й Лазурный, пер., рус
2-й Левитана, пер., рус
2-й Лермонтовский, пер., рус
2-й Липинский, пер., рус
2-й Локомотивный, пер., рус
2-й Лузановский, пер., рус
2-й Пролетарский, пер., рус
2-й Стахановский, пер., рус
2-й Студенческий, пер., рус
2-й Черноморский, пер., рус
2-я Вертолетная, ул., рус
2-я Виноградная, ул., рус
2-я Ильичевская, ул., рус
2-я Карла Маркса, ул., рус
2-я Лагерная, ул., рус
2-я Линия, ул., рус
2-я Пересыпская, ул., рус
2-я Пригородная, ул., рус
2-я Проектируемая, ул., рус
2-я Сортировочная, ул., рус
35-я Линия, ул., рус
36-я Линия, ул., рус
37-я Линия, ул., рус
39-я Линия, ул., рус
3-й 8-го Марта, пер., рус
3-й Александра Невского, пер., рус
3-й Амурский, пер., рус
3-й Аркадийский, пер., рус
3-й Балтский, пер., рус
3-й Бассейный, пер., рус
3-й Водопроводный, пер., рус
3-й Известковый, пер., рус
3-й Керченский, пер., рус
3-й Кипарисный, пер., рус
3-й Китобойный, пер., рус
3-й Костанди, пер., рус
3-й Крымский, пер., рус
3-й Лазурный, пер., рус
3-й Левитана, пер., рус
3-й Липинский, пер., рус
3-й Локомотивный, пер., рус
3-й Первомайский, пер., рус
3-й Стахановский, пер., рус
3-й Чапаевсий, пер., рус
3-й Черноморский, пер., рус
3-я Виноградная, ул., рус
3-я Карла Маркса, ул., рус
3-я Линия, ул., рус
3-я Пересыпская, ул., рус
3-я Проектируемая, ул., рус
40 лет Победы, ул., рус
40-летия ВЛКСМ, пер., рус
40-летия ВЛКСМ, ул., рус
40-летия Обороны Одессы, ул., рус
40-летия Октября, ул., рус
40-я Линия, ул., рус
411-й Береговой Батареи, ул., рус
41-я Линия, ул., рус
43-я Линия, ул., рус
44-я Линия, ул., рус
45-я Линия, ул., рус
46-я Линия, ул., рус
47-я Линия, ул., рус
48-я Линия, ул., рус
49-я Линия, ул., рус
4-й 8-го Марта, пер., рус
4-й Александра Невского, пер., рус
4-й Амурский, пер., рус
4-й Балтский, пер., рус
4-й Бассейный, пер., рус
4-й Житомирский, пер., рус
4-й Костанди, пер., рус
4-й Лазурный, пер., рус
4-й Стахановский, пер., рус
4-я Заводская, ул., рус
4-я Карла Маркса, ул., рус
4-я Линия, ул., рус
4-я Пересыпская, ул., рус
4-я Проектируемая, ул., рус
50-летия СССР, пл., рус
50-я Линия, ул., рус
51-я Линия, ул., рус
52-я Линия, ул., рус
53-я Линия, ул., рус
5-го Декабря, ул., рус
5-й 8-го Марта, пер., рус
5-й Амурский, пер., рус
5-й Аэропортовский, пер., рус
5-й Балтский, пер., рус
5-й Бассейный, пер., рус
5-й Лазурный, пер., рус
5-й Пятилетки, ул., рус
5-й Стахановский, пер., рус
5-й Чапаевсий, пер., рус
5-я Заводская, ул., рус
5-я Карла Маркса, ул., рус
5-я Линия, ул., рус
60-летия СССР, пл., рус
6-й 8-го Марта, пер., рус
6-й Балтский, пер., рус
6-й Бассейный, пер., рус
6-й Лазурный, пер., рус
6-я Линия, ул., рус
7-й 8-го Марта, пер., рус
7-й Балтский, пер., рус
7-й Бассейный, пер., рус
7-я Линия, ул., рус
7-я Пересыпская, ул., рус
8-го Марта, пер., рус
8-го Марта, спуск, рус
8-го Марта, ул., рус
8-го Марта линия 1-я , ул., рус
8-й 8-го Марта, пер., рус
8-й Балтский, пер., рус
8-й Чапаевсий, пер., рус
8-й Черноморский, пер., рус
8-я Линия, ул., рус
