16 Июля, ул., рус
Авиаторов, ул., рус
Академика Грушевского, ул., рус
Александра Олеся, ул., рус
Александрийская, ул., рус
Алексея Новака, ул., рус
Андрея Мельника, ул., рус
Басовкутская, ул., рус
Белая, ул., рус
Береговая, ул., рус
Богоявленская, ул., рус
Борового, ул., рус
Боярка, ул., рус
Буковинская, ул., рус
Вербовая, ул., рус
Веремчука, ул., рус
Видинская, ул., рус
Винниченко, ул., рус
Вишнёвая, ул., рус
Владимира Мономаха, ул., рус
Волынская, ул., рус
Волынской Дивизии, ул., рус
Выдумка, ул., рус
Вячеслава Черновола, ул., рус
Гагарина, ул., рус
Гайдамацкая, ул., рус
Генерала Безручко, просп., рус
Гетмана Мазепы, ул., рус
Гетмана Полуботка, ул., рус
Гетмана Сагайдачного, ул., рус
Глубокая, ул., рус
Гоголя, ул., рус
Грабник, ул., рус
Граничная, ул., рус
Григоренко, ул., рус
Григория Сковороды, ул., рус
Грунтовая, ул., рус
Даниила Галицкого, ул., рус
Дворецкая, ул., рус
Декабристов, ул., рус
Дерманская, ул., рус
Директории, ул., рус
Драганчука, ул., рус
Драгоманова, ул., рус
Дубенская, ул., рус
Евгения Гребёнки, ул., рус
Евгения Коновальца, ул., рус
Елены Телиги, ул., рус
Жукова, ул., рус
Жуковского, ул., рус
Замковая, ул., рус
Заньковецкой, ул., рус
Зелёная, ул., рус
Ивана Франко, ул., рус
Кавказская, ул., рус
Карбышева, ул., рус
Квитки-Основьяненко, ул., рус
Киевская, ул., рус
Клима Савура, ул., рус
Княгини Ольги, ул., рус
Князя Владимира, ул., рус
Князя Острожского, ул., рус
Князя Романа, ул., рус
Королёва, ул., рус
Короленко, ул., рус
Короткая, ул., рус
Костромская, ул., рус
Котляревского, ул., рус
Красивая, ул., рус
Красногорская, ул., рус
Курчатова, ул., рус
Кутузова, ул., рус
Лермонтова, ул., рус
Леси русаинки, ул., рус
Льва Толстого, ул., рус
Льнокомбинатовская, ул., рус
Макарова, ул., рус
Максима Березовского, ул., рус
Малоровененская, ул., рус
Марка Вовчка, ул., рус
Мира, просп., рус
Михаила Старицкого, ул., рус
Мицкевича, ул., рус
Млыновская, ул., рус
Молодёжная, ул., рус
Набережная, ул., рус
Надворная, ул., рус
Небесной Сотни, ул., рус
Независимости, пл., рус
Независимости, пл., рус
Независимости, пл., рус
Независимости, пл., рус
Независимости, пл., рус
Независимости, пл., рус
Неофита Кибалюка, ул., рус
Нижнедворецкая, ул., рус
Николая Зерова, ул., рус
Николая Карнаухова, ул., рус
Николая Костомарова, ул., рус
Николая Леонтовича, ул., рус
Нила Хасевича, ул., рус
Новая, ул., рус
Новодворская, ул., рус
Орлова, ул., рус
Оршанской победы, ул., рус
Павлюченко, ул., рус
Парковая, ул., рус
Первый Луч, ул., рус
Петра Могилы, ул., рус
Полевая, ул., рус
Полтавская, ул., рус
Проходная, ул., рус
Пухова, ул., рус
Пушкина, ул., рус
Родниковая, ул., рус
Романа Шухевича, ул., рус
Садовая, ул., рус
Саломеи Крушельницкой, ул., рус
Сальского, ул., рус
Самолюка, ул., рус
Светличная, ул., рус
Семёна Скляренко, ул., рус
Словацкого, ул., рус
Смерековая, ул., рус
Соборная, ул., рус
Солнечная, ул., рус
Степана Бандеры, ул., рус
Степана Васильченко, ул., рус
Степана Демьянчука, ул., рус
Степная, ул., рус
Строителей, ул., рус
Студенческая, ул., рус
Счастливая, ул., рус
Тинновская, ул., рус
Тихая, ул., рус
Транспортная, ул., рус
Украинская, ул., рус
Фабричная, ул., рус
Фёдорова, ул., рус
Хмельная, ул., рус
Чебышева, ул., рус
Чехова, ул., рус
Чешская, ул., рус
Шевченко, ул., рус
Школьная, ул., рус
Штейнгеля, ул., рус
Юбилейная, ул., рус
Яблоневая, ул., рус
Яворницкого, ул., рус
Ярослава Гашека, ул., рус
Ярослава Мудрого, ул., рус
Ясная, ул., рус
16 липня, вул., укр
17 Вересня, вул., укр
24 серпня, вул., укр
Абрамова і Голікова, вул., укр
Аграрна, вул., укр
Айвазовського, вул., укр
Анатолія Лабунського, вул., укр
Анатолія Яндали, вул., укр
Андрія Лайка, вул., укр
Андрія Мельника, вул., укр
Антона Нивинського, вул., укр
Антоніни Горохович, вул., укр
Артилерійська, вул., укр
Багряного, вул., укр
Базарна, вул., укр
Базарний, пров., укр
Байди-Вишневецького, вул., укр
Байдукова, вул., укр
Барвиста, вул., укр
Басівкутська, вул., укр
Берегова, вул., укр
Бесарабія, вул., укр
Біла, вул., укр
Біляшівського, вул., укр
Бічна, вул., укр
Благодатна, вул., укр
Богачука, вул., укр
Богдана Хмельницького, бульв., укр
Богдана Хмельницького, вул., укр
Богдана Хмельницького, пров., укр
Богоявленська, вул., укр
Бориса Андреєва, вул., укр
Бориса Квашенка, вул., укр
Бориса Степанишина, вул., укр
Бориса Тена, вул., укр
Бориса Шведа, вул., укр
Бородіна, вул., укр
Ботанічна, вул., укр
Боярка, вул., укр
Боярка, пров., укр
Бригадна, вул., укр
Бригадний, пров., укр
Брюлова, вул., укр
Будівельників, вул., укр
Бузкова, вул., укр
Буковинська, вул., укр
Бульби-Боровця, вул., укр
Бурштинова, вул., укр
Вавілова, вул., укр
Валер'яна Поліщука, вул., укр
Василя Стуса, вул., укр
Веделя, вул., укр
Вербова, вул., укр
Верещагіна, вул., укр
Вертепна, вул., укр
Весняна, вул., укр
Весняний, пров., укр
Виговського гетьмана, вул., укр
Видумка, вул., укр
Винниченка, вул., укр
Висока, вул., укр
Вишнева, вул., укр
Відінська, вул., укр
Відрадна, вул., укр
відсутня, вул., укр
Віктора Красильникова, вул., укр
Вінницька, вул., укр
Вінницький, пров., укр
Вітебська, вул., укр
Возницького, вул., укр
Волинська, вул., укр
Волинської Дивізії, вул., укр
Володимира Антоновича, вул., укр
Володимира Івасюка, вул., укр
Володимира Мономаха, вул., укр
Володимира Сальського, вул., укр
Волошкова, вул., укр
Воля, вул., укр
Вротновських, вул., укр
Вчительська, вул., укр
В'ячеслава Зофа, вул., укр
В'ячеслава Чорновола, вул., укр
Гагаріна, вул., укр
Гайдамацька, вул., укр
Гайова, вул., укр
Гайовий, пров., укр
Ганівська, вул., укр
Ганнівська, вул., укр
Гарна, вул., укр
Генерала Безручка, вул., укр
Георгія Димитрова, вул., укр
Героїв Берестечка, вул., укр
Героїв Крут, вул., укр
Героїчний, пров., укр
Герцена, вул., укр
Глибока, вул., укр
Глінки, вул., укр
Гната Хоткевича, вул., укр
Гоголя, вул., укр
Гоголя, пров., укр
Голубина, вул., укр
Гончарова, вул., укр
Городня, вул., укр
Горького, вул., укр
Гостинна, вул., укр
Грабник, вул., укр
Гранична, вул., укр
Граничний, пров., укр
Гребельна, вул., укр
Гребінки, вул., укр
Григорія Горбачевського, вул., укр
Григорія Сковороди, вул., укр
Громової, вул., укр
Грушевського академіка, вул., укр
Гур'єва, вул., укр
Гурія Бухала, вул., укр
Данила Галицького, вул., укр
Дарвіна, вул., укр
Дачна, вул., укр
Дворецька, вул., укр
Дворецька 2-й проїзд, вул., укр
Дворецький, пров., укр
Декабристів, вул., укр
Дем'янчука Степана академіка, вул., укр
Дерманська, вул., укр
Джека Лондона, вул., укр
Джерельна, вул., укр
Директорії, вул., укр
Діонісія Міклера, вул., укр
Дмитра Багалія, вул., укр
Дніпровська, вул., укр
Добра, вул., укр
Добропільська, вул., укр
Дорогобужська, вул., укр
Дорожний, пров., укр
Досвітня, вул., укр
Достоєвського, вул., укр
Драй Хмари, вул., укр
Древлянська, вул., укр
Дрогобицька, вул., укр
Дружби, вул., укр
Дубенська, вул., укр
Дубенська БОС, вул., укр
Дубенський, пров., укр
Дулібська, вул., укр
Дунайська, вул., укр
Енергетиків, вул., укр
Євгена Борового, вул., укр
Євгена Коновальця, вул., укр
Євгена Маланюка, вул., укр
Євгена Плужника, вул., укр
Єсеніна, вул., укр
Єфремова, вул., укр
Житомирська, вул., укр
Жоліо Кюрі, вул., укр
Жукова, вул., укр
Жуковського, вул., укр
Журавлина, вул., укр
Заводська, вул., укр
Загородня, вул., укр
Залізнична, вул., укр
Залізняка, вул., укр
Заміська, вул., укр
Замкова, вул., укр
Заньковецької, вул., укр
Запорізька, вул., укр
Зарічна, вул., укр
Зарічний, пров., укр
Захисників України, вул., укр
Згоди, вул., укр
Здолбунівська, вул., укр
Зелена, вул., укр
