19 Партсъезда, ул., рус
1-ая Беговая, ул., рус
1-ая Живописная, ул., рус
1-ая Караньская, ул., рус
1-ая Равелинная, ул., рус
1-ая Сарандинаки, ул., рус
1-го Мая, площадь, рус
1-й Академический, переулок, рус
1-й Альпийский, переулок, рус
1-й Голландский, переулок, рус
1-й Готский, проезд, рус
1-й Караньский, переулок, рус
1-й Морской, переулок, рус
1-й Орхидейный, переулок, рус
1-й Папоротниковый, переулок, рус
1-й Планерный, переулок, рус
1-й Равелинный, переулок, рус
1-й Радарный, переулок, рус
1-й Уютный, переулок, рус
1-й Фланговый, переулок, рус
1-й Хвойный, переулок, рус
1-й Хомутов, переулок, рус
1-я Бастионная, ул., рус
1-я Воронцовская, ул., рус
1-я Дорическая, ул., рус
1-я Линия, ул., рус
1-я линия Бомбор, ул., рус
1-я Радарная, ул., рус
1-я Эдельвейсовая, ул., рус
2-ая Беговая, ул., рус
2-ая Живописная, ул., рус
2-ая Караньская, ул., рус
2-ая Равелинная, ул., рус
2-ая Сарандинаки, ул., рус
2-й Академический, переулок, рус
2-й Альпийский, переулок, рус
2-й Голландский, переулок, рус
2-й Готский, проезд, рус
2-й Караньский, переулок, рус
2-й Морской, переулок, рус
2-й Орхидейный, переулок, рус
2-й Папоротниковый, переулок, рус
2-й Планерный, переулок, рус
2-й Равелинный, переулок, рус
2-й Радарный, переулок, рус
2-й Уютный, переулок, рус
2-й Фланговый, переулок, рус
2-й Хвойный, переулок, рус
2-й Хомутов, переулок, рус
2-я Бастионная, ул., рус
2-я Воронцовская, ул., рус
2-я Голландская, ул., рус
2-я Линия, ул., рус
2-я Линия Бомбор, ул., рус
2-я Радарная, ул., рус
2-я Эдельвейсовая, ул., рус
300 летия Российского флота, площадь, рус
3-я Бастионная, ул., рус
3-я Равелинная, ул., рус
3-я Сарандинаки, ул., рус
40 лет Октября, ул., рус
4-ая Равелинная, ул., рус
4-ая Сарандинаки, ул., рус
4-я Бастионная, ул., рус
50 лет СССР, площадь, рус
5-ая Сарандинаки, ул., рус
5-го Декабря, ул., рус
5-я Бастионная, ул., рус
6-я Бастионная, ул., рус
7-го Ноября, ул., рус
8-го Марта, ул., рус
9-го Мая, ул., рус
9-го Января, ул., рус
Абрикосовая, ул., рус
Авдеева, ул., рус
Авиаторов, ул., рус
Авиационная, ул., рус
Адмирала Владимирского, ул., рус
Адмирала Грейга, ул., рус
Адмирала Макарова, ул., рус
Адмирала Макарова, ул., рус
Адмирала Октябрьского, ул., рус
Адмирала Октябрьского, ул., рус
Адмирала Фадеева, ул., рус
Адмирала Фадеева, ул., рус
Адмирала Юмашева, ул., рус
Адмирала Юмашева, ул., рус
Азарова, ул., рус
Айвазовского, ул., рус
Академика Крылова, ул., рус
Академика Крылова, ул., рус
Акмолинская, ул., рус
Аксютина, ул., рус
Актюбинская, ул., рус
Алексакиса, ул., рус
Александера, ул., рус
Александра Матросова, ул., рус
Аллы Оношко, ул., рус
Аллы Оношко, ул., рус
Алуштинская, ул., рус
Ангарская , ул., рус
Английский бульвар, ул., рус
Античный, проспект, рус
Античный бульвар, ул., рус
Антоненко, ул., рус
Арабатский, переулок, рус
Арбатский, переулок, рус
Арктический, переулок, рус
Ароматная, ул., рус
Арсенальная, ул., рус
Арсланов, переулок, рус
Артиллерийская бухта, ул., рус
Артиллеристов, ул., рус
Археологическая, ул., рус
Арцеулова, ул., рус
Астана Кесаева, ул., рус
Астраханская, ул., рус
Ахлестина, ул., рус
Ахмет-Хана Султана, ул., рус
Ахтырская, ул., рус
Багрия, ул., рус
Бакинская, ул., рус
Бакинский тупик, ул., рус
Бакуниной, ул., рус
Балаклавская, ул., рус
Балаклавское ,шоссе, рус
Балканская, ул., рус
Балтийская, ул., рус
Баркасная, ул., рус
Барнаульская, ул., рус
Бастионный проезд, ул., рус
Батарейная, ул., рус
Батумская, ул., рус
Баумана, ул., рус
Бахчисарайская, ул., рус
Башенная, ул., рус
Баштановая, ул., рус
Белинского, ул., рус
Белкина, проезд, рус
Белозерская, ул., рус
Белостокская, ул., рус
Белостокская, ул., рус
Береговая, ул., рус
Бермана, ул., рус
Бестужева, ул., рус
Бирюзова, ул., рус
Бирюзовая, ул., рус
Бирюлёва, ул., рус
Благодатная, ул., рус
Блюхера, ул., рус
Богдана Хмельницкого, ул., рус
Богданова, ул., рус
Большая Морская, ул., рус
Бориса Михайлова, ул., рус
Борисова, ул., рус
Бородинская, ул., рус
Ботаническая, ул., рус
Боцманская, ул., рус
Братская, ул., рус
Братьев Микрюковых, ул., рус
Брестская, ул., рус
Бригадная, ул., рус
Бригадный, проулок, рус
Брянская, ул., рус
Будённого, ул., рус
Будищева, ул., рус
Бузина, сквер, рус
Бузкова, ул., рус
Бульвар гидронавтов, ул., рус
Буряка, ул., рус
Бутакова, переулок, рус
Бутакова, ул., рус
Бутырская, ул., рус
Вагонный тупик, ул., рус
Вакуленчука, ул., рус
Варшавская, ул., рус
Василия Жукова, ул., рус
Василия Шукшина, ул., рус
Василия Шукшина, ул., рус
Ватутина, ул., рус
Веерная, ул., рус
Веселая, ул., рус
Весенняя, ул., рус
Вечерняя, ул., рус
Виноградная, ул., рус
Витебская, ул., рус
Владимирская, ул., рус
Владимирского, ул., рус
Водная, ул., рус
Водопроводный, пер., рус
Водопьянова, спуск, рус
Водосточный, пер., рус
Военных строителей, ул., рус
Вокзальная, ул., рус
Волгоградская, ул., рус
Волжская, ул., рус
Волнистая, ул., рус
Вологодская, ул., рус
Володарского, ул., рус
Волочаевская, ул., рус
Волынская, ул., рус
Воровского, ул., рус
Воронежская, ул., рус
Воронина, ул., рус
Восставших, площадь, рус
Восточная, ул., рус
Второй Обороны, ул., рус
Выгонная, ул., рус
Гавена, ул., рус
Гагарина, проспект, рус
Гаджиева, ул., рус
Гайдара, ул., рус
Галины Петровой, ул., рус
Галины Прокопенко, ул., рус
Галицкий, переулок, рус
