1 Мая, пер., рус
1 Мая, ул., рус
12 апреля, пер., рус
40 лет Октября, пер., рус
40 лет Октября, ул., рус
6 сентября, пер., рус
8 марта, ул., рус
9 мая, ул., рус
Авроры, пер., рус
Амурский, пер., рус
Андреевский, пер., рус
Арматурная, ул., рус
Арматурный, пер., рус
Артема, пер., рус
Артема, ул., рус
Аэродромная, ул., рус
Аэродромный, пер., рус
Бабушкина, пер., рус
Бакайская, ул., рус
Батюка, ул., рус
Батюка Генерала, ул., рус
Бедного Демьяна, пер., рус
Бедного Демьяна, ул., рус
Белинского, пер., рус
Бессарабская, ул., рус
Блюхера, ул., рус
Богомольца, пер., рус
Болгарский, пер., рус
Ботаническая, ул., рус
Брянская, ул., рус
Буденного, пер., рус
Бульварная, ул., рус
Вавилова, ул., рус
Василевского, ул., рус
Ватутина, ул., рус
Весенняя, ул., рус
Вильямса, ул., рус
Виноградная, ул., рус
Виноградный, пер., рус
Водоводный ,въезд, рус
Водопьянова ,ул, рус
Возрождения, ул., рус
Войкова, ул., рус
Воинов-интернационалистов, пер., рус
Воинов-интернационалистов, ул., рус
Волжская, ул., рус
Волжский, пер., рус
Володарского, ул., рус
Вольная, ул., рус
Воровского, ул., рус
Воронежская, ул., рус
Ворошилова, ул., рус
Восточный, пер., рус
Высокий, пер., рус
Гагарина, ул., рус
Гайдара, ул., рус
Гастелло, ул., рус
Гвардейская, ул., рус
Геологическая, ул., рус
Героев труда, ул., рус
Гладыша, пер., рус
Гладыша, ул., рус
Глинки, пер., рус
Глинки, ул., рус
Гоголя, пер., рус
Гоголя, ул., рус
Гончарова, ул., рус
Горловская, ул., рус
Горный, пер., рус
Горовая, ул., рус
Горовой, пер., рус
Горького, ул., рус
Грабовского, пер., рус
Гражданская, ул., рус
Гражданский, пер., рус
Граничная, ул., рус
Гресовская, ул., рус
Гречко, пер., рус
Гречко, ул., рус
Губкина, ул., рус
Гудованцева, ул., рус
Дальневосточная, ул., рус
Дальний, пер., рус
Дарвина, ул., рус
Демократический, пер., рус
Деповской, пер., рус
Дехтярева, пер., рус
Дехтярева, ул., рус
Дзержинского, ул., рус
Димитрова, ул., рус
Днепровская, ул., рус
Днепровский, пер., рус
Добровольского, ул., рус
Добролюбова, ул., рус
Довженко, пер., рус
Довженко, ул., рус
Донецкая, ул., рус
Донская, ул., рус
Донского Дмитрия, ул., рус
Донской, пер., рус
Достоевского, пер., рус
Достоевского, ул., рус
Дружбы, пер., рус
Дружбы, ул., рус
Дыбенко, ул., рус
Железнодорожный, пер., рус
Житомирский, пер., рус
Жукова, пер., рус
Жукова, ул., рус
Заводская, ул., рус
Запорожская, ул., рус
