1 травня, вул., укр
Авіаторів, вул., укр
Анатолія Дармостука, вул., укр
Артема, вул., укр
Березанська, вул., укр
Березова, вул., укр
Богдана Хмельницького, вул., укр
Будівельна, вул., укр
Бурки, вул., укр
Валерія Середи, вул., укр
Василя Стуса, вул., укр
Васильківська, вул., укр
Ватутіна, вул., укр
Верхня Лугова, вул., укр
Винниченка, вул., укр
Вільна, вул., укр
Володимирська, вул., укр
Волошкова, вул., укр
Вуличка, вул., укр
Гагаріна, вул., укр
Гастело, вул., укр
Гетьмана Сагайдачного, вул., укр
Гоголя, вул., укр
Головачова, вул., укр
Гончарна, вул., укр
Горохівка, вул., укр
Горської Алли, вул., укр
Грушевського, вул., укр
Дармостука, вул., укр
Декабристів, вул., укр
Джерельна, вул., укр
Дніпрельстан, вул., укр
Довженка, вул., укр
Донбасівська, вул., укр
Заводська, вул., укр
Зарічна, вул., укр
Згоди, вул., укр
Івана Кудрі, вул., укр
Івана Мазепи, вул., укр
Івана Франка, вул., укр
Індустріальна, вул., укр
Кармелюка, вул., укр
Квітки Основ'яненка, вул., укр
Керамічна, вул., укр
Київська, вул., укр
Кільцева, вул., укр
Кітченко, вул., укр
Княжа, вул., укр
Князя Ігоря, вул., укр
Кобилянської Ольги, вул., укр
Ковмира, вул., укр
Ковніра, вул., укр
Козацька, вул., укр
Козловського, вул., укр
Комінтерна, вул., укр
Комсомольська, вул., укр
Кооперативна, вул., укр
Космонавтів, вул., укр
Коцюбинського, вул., укр
Кошевого, вул., укр
Кривова, вул., укр
Курчатова, вул., укр
Леваневського, вул., укр
Лесі Українки, вул., укр
Лиса Гора, вул., укр
Лісна, вул., укр
Ломоносова, вул., укр
Матросова, вул., укр
Маяковського, вул., укр
Метелева, вул., укр
Механізаторів, вул., укр
Миру, вул., укр
Митрополита Андрея Шептицького, вул., укр
Михайлівська, вул., укр
Міжподільна, вул., укр
Мічуріна, вул., укр
Молодіжна, вул., укр
Молочна, вул., укр
Набережна, вул., укр
Нагірна, вул., укр
Нахімова, вул., укр
Небесної Сотні, вул., укр
Незалежності, вул., укр
Нижня Донбасівська, вул., укр
Нижня Лугова, вул., укр
Нова, вул., укр
Озерна, вул., укр
Олександра Лістрового, вул., укр
Олександрівська, вул., укр
Панаса Мирного, вул., укр
Партизанська, вул., укр
Патріотична, вул., укр
Перемоги, вул., укр
Пилипа Орлика, вул., укр
Поділ, вул., укр
Покровська, вул., укр
Польова, вул., укр
Поповича, вул., укр
Преображенська, вул., укр
Прорізна, вул., укр
Путровська, вул., укр
Пушкіна, вул., укр
Республіканська, вул., укр
Річна, вул., укр
Робкорівська, вул., укр
Романтична, вул., укр
Садова, вул., укр
Саносвітня, вул., укр
Селянська, вул., укр
Семенця, вул., укр
Сергія Шамрая, вул., укр
Ситника Михайла, вул., укр
Сількорівська, вул., укр
Січових стрільців, вул., укр
Соборна, вул., укр
Солов'їна, вул., укр
Сонячна, вул., укр
Соснова, вул., укр
Софіївська, вул., укр
Суворова, вул., укр
Терешкової, вул., укр
Тімірязєва, вул., укр
Тітова, вул., укр
Травня, вул., укр
Тракторна, вул., укр
Трудова, вул., укр
Тургенєва, вул., укр
Фестивальна, вул., укр
Хлібна, вул., укр
Хмільова, вул., укр
Хохрякова, вул., укр
Центральна, вул., укр
Челюскінців, вул., укр
Черняховського, вул., укр
Чехова, вул., укр
Чкалова, вул., укр
Чорновола, вул., укр
Шевченка, вул., укр
Юнкорівська, вул., укр
Юрія Литвина, вул., укр
Юрія Скляра, вул., укр
Військове,, укр
1 Дніпрельстан, пров., укр
1 Петровського, пров., укр
7-й Тракторний, пров., укр
8 Березня, пров., укр
Агрономічний, пров., укр
Береговий, пров., укр
Боженка, пров., укр
Бурки, пров., укр
Васильківський, пров., укр
Вільний, пров., укр
Володимирський, пров., укр
Волошковий, пров., укр
Вугольний, пров., укр
Гастело, пров., укр
Гетьманський, пров., укр
Гоголя, пров., укр
Головковий, пров., укр
Гончарний, пров., укр
Горської Алли, пров., укр
Дачний, пров., укр
Джерельний, пров., укр
Донбасівський, пров., укр
Залізничний, пров., укр
Замковецький, пров., укр
Зарічна, пров., укр
Зелений, пров., укр
І Польовий, пров., укр
Івана Мазепи, пров., укр
ІІ Польовий, пров., укр
Кармелюка, пров., укр
Квітки Основяненка, пров., укр
Керамічний, пров., укр
Княгині Ольги, пров., укр
Княжий, пров., укр
Козацький 2, пров., укр
Козацький 3, пров., укр
Козацький 4, пров., укр
Комарова, пров., укр
Комунальний, пров., укр
Кошмана, пров., укр
Культосвітній, пров., укр
Лермонтова, пров., укр
Лісний, пров., укр
Луговий, пров., укр
Матросова, пров., укр
Молодіжний, пров., укр
Незалежності, пров., укр
Овражний, пров., укр
Огородній, пров., укр
Першотравневий, пров., укр
Підгірний, пров., укр
Піщаний, пров., укр
Польовий, пров., укр
Поповича, пров., укр
Пушкіна, пров., укр
Радянський, пров., укр
Робітничий, пров., укр
Святковий, пров., укр
Северний, пров., укр
Селянський, пров., укр
Сергія Шамрая, пров., укр
Середи Валерія, пров., укр
Сковороди, пров., укр
Соборний, пров., укр
Сонячний, пров., укр
Софіївський, пров., укр
Спортивний, пров., укр
Ставковий, пров., укр
Суворова, пров., укр
Терешкової, пров., укр
Толстого, пров., укр
Тракторний, пров., укр
Тургенєва, пров., укр
Хасановський, пров., укр
Чехова, пров., укр
Чкалова, пров., укр
Шевченка, пров., укр
Южний, пров., укр
Ярослава Мудрого, пров., укр

