Абрикосова, вул., укр
Айвова, вул., укр
Богдана Хмельницького, вул., укр
Ватутіна, вул., укр
Виноградна, вул., укр
Вишнева, вул., укр
Глібова, вул., укр
Гриненка, вул., укр
Грушевського, вул., укр
Дніпровська, вул., укр
Довженка, вул., укр
Калнишевського, вул., укр
Київська, вул., укр
Косманавтів, вул., укр
Коцюбинського, вул., укр
Кургузова, вул., укр
Лугова, вул., укр
Мазепи, вул., укр
Максимовича, вул., укр
Межигірського Спасу, вул., укр
Мономаха, вул., укр
Набережна, вул., укр
Первозванка, вул., укр
Піщана, вул., укр
Покровська, вул., укр
Полунична, вул., укр
Поповича, вул., укр
Преображенська, вул., укр
Пушкіна, вул., укр
Ромашкова, вул., укр
Святославська, вул., укр
Семена Палія, вул., укр
Симоненка, вул., укр
Спаська, вул., укр
Фіалкова, вул., укр
Фруктова, вул., укр
Шевченка, вул., укр
Шкільна, вул., укр
Шолуденка, вул., укр
Яблунева, вул., укр
Ягідна, вул., укр
Шевченка, пл., укр
Дніпровський, пров., укр
Прожекторний, пров., укр
Семена Палія, пров., укр
Старосільський, пров., укр
Шевченка, просп., укр
