1 Травня, вул., укр
35 років Перемоги, вул., укр
40 років Жовтня, вул., укр
40 років Перемоги, вул., укр
50-и річчя Перемоги, вул., укр
8 березня, вул., укр
8-го Березня, вул., укр
Балукова, вул., укр
Береговий, пров., укр
Благовісна, вул., укр
Братів Гавришів, вул., укр
Буденого, вул., укр
Ватутіна, вул., укр
Вербова, вул., укр
Весела, вул., укр
Виноградна, вул., укр
Вишнева, вул., укр
Вишневий, пров., укр
Вінцова, вул., укр
Вітянська, вул., укр
Вокзальна, вул., укр
Волощука, вул., укр
Ворошилова, вул., укр
Вчорайшенська, вул., укр
Гагаріна, вул., укр
Гадяцька, вул., укр
Гайдара, вул., укр
Генерала Ватутіна, вул., укр
Гоголя, вул., укр
Годзенка, вул., укр
Горького, вул., укр
Григорія Сковороди, вул., укр
Дальний, пров., укр
Дачна, вул., укр
Десантників, вул., укр
Дніпровська, вул., укр
Дорошенка, вул., укр
Друга, вул., укр
Дружби, вул., укр
Європейська, вул., укр
Жовтнева, вул., укр
Жовтневий, пров., укр
Залізнича, вул., укр
Залізнична, вул., укр
Западний, пров., укр
Зарічна, вул., укр
Заріччя, вул., укр
Затишна, вул., укр
Зелена, вул., укр
І мая, вул., укр
Івана Мазепи, вул., укр
Калинова, вул., укр
Квіткова, вул., укр
Квітнева, вул., укр
Київська, вул., укр
Кінний, пров., укр
Кірова, вул., укр
Козацька, вул., укр
Колхозна, вул., укр
Комарова, вул., укр
Комсомольська, вул., укр
Кооперативна, вул., укр
Космонавтів, вул., укр
Коханівка, вул., укр
Кругова, вул., укр
Крупська, вул., укр
Кутузова, вул., укр
Леніна, вул., укр
Ленінградська, вул., укр
Лесі Українки, вул., укр
Лісна, вул., укр
Лісний, пров., укр
Лісова, вул., укр
Ломоносова, вул., укр
Лубенська, вул., укр
Лугова, вул., укр
Люлинецька, вул., укр
Мазепи гетьмана, вул., укр
Маліновського, вул., укр
Марченка, вул., укр
Машинобудівників, вул., укр
Мельнична, вул., укр
Миколаїва, вул., укр
Мирна, вул., укр
Миру, вул., укр
Мічуріна, вул., укр
Молодіжна, вул., укр
Молодіжний, пров., укр
Монолітна, вул., укр
Набережна, вул., укр
Нарядна, вул., укр
Нова, вул., укр
Новобудівельна, вул., укр
Образцова, вул., укр
Олександра Невського, вул., укр
Олімпійська, вул., укр
Операторів, вул., укр
Освіти, вул., укр
Остапа Вишні, вул., укр
Перемоги, вул., укр
Перша, вул., укр
Першотравнева, вул., укр
Петрівська, вул., укр
Петровського, вул., укр
Південна, вул., укр
Північна, вул., укр
Підгірна, вул., укр
Підгірне, вул., укр
Пірогова, вул., укр
Полігонна, вул., укр
Половича, вул., укр
Польова, вул., укр
Порика, вул., укр
Поштовий, пров., укр
Праці, вул., укр
Привокзальна, вул., укр
Продольна, вул., укр
Проїздна, вул., укр
Пушкіна, вул., укр
Радостєва, вул., укр
Радянська, вул., укр
Рокосовського, вул., укр
Сагайдачного, вул., укр
Садова, вул., укр
Світла, вул., укр
Свободи, вул., укр
Святошинська, вул., укр
Святоюріївська, вул., укр
Слобідська, вул., укр
Сонячна, вул., укр
Спортивна, вул., укр
Стельмаха, вул., укр
Степова, вул., укр
Стуса, вул., укр
Суворова, вул., укр
Східна, вул., укр
Татарця, вул., укр
Татарця, пров., укр
Титова, вул., укр
Тихий, пров., укр
Тітова, вул., укр
Травнева, вул., укр
Третя, вул., укр
Трикутна, вул., укр
Трудова, вул., укр
Тягова, вул., укр
Українська, вул., укр
Урожайний, пров., укр
Фестивальна, вул., укр
Фрунзе, вул., укр
Центральна, вул., укр
Центральна-Нова, вул., укр
Чапаєва, вул., укр
Червоноармійська, вул., укр
Черемушки, вул., укр
Чкалова, вул., укр
Чорновола, вул., укр
Шаповалова, вул., укр
Шевченка, вул., укр
Широкий, пров., укр
Шкільна, вул., укр
Щорса, вул., укр
Юбілейна, вул., укр
Ювілейна, вул., укр

