12 Апреля, ул., рус
14 Октября, ул., рус
18 Съезда, ул., рус
1905 Года, ул., рус
3 Пятилетки, ул., рус
30 Декабря, ул., рус
30 Лет Победы, ул., рус
40 Лет Октября, ул., рус
40 Лет Советской русаины, ул., рус
50 Лет Октября, ул., рус
60 Лет Влксм, ул., рус
8 Марта, ул., рус
8 Съезда Советов, ул., рус
9 Мая, ул., рус
Абразивная, ул., рус
Абрикосовая, ул., рус
Авалиани, ул., рус
Авраменко, ул., рус
Автобусная, ул., рус
Автодоровская, ул., рус
Автозаводская, ул., рус
Автострадная, ул., рус
Адмиралтейская, ул., рус
Адыгейский, пер., рус
Ажурная, ул., рус
Айвазовского, ул., рус
Академическая, ул., рус
Александра Невского, ул., рус
Александрова Академика, ул., рус
Аллейная, ул., рус
Аллейный, пер., рус
Алма-Атинская, ул., рус
Алмазная, ул., рус
Алуштинская, ул., рус
Алюмин Кооп.,, рус
Аматорская, ул., рус
Анапская, ул., рус
Андросова, ул., рус
Антарктическая, ул., рус
Аральская, ул., рус
Арбатский, пер., рус
Армавирская, ул., рус
Арочная, ул., рус
Артековский, пер., рус
Артема, ул., рус
Артиллеристов, ул., рус
Бабушкина, ул., рус
Байды, ул., рус
Бакинский, пер., рус
Бакинских Комиссаров, ул., рус
Банковская, ул., рус
Барбюса А., ул., рус
Баррикадная, ул., рус
Бастионный, пер., рус
Бегенова, ул., рус
Безымянная, ул., рус
Белинского, ул., рус
Белокопытова, ул., рус
Бельфорский Б-Р,, рус
Бестужева, ул., рус
Бетонная, ул., рус
Бетховена, ул., рус
Бирюзова, ул., рус
Бирюкова, ул., рус
Благоева, ул., рус
Ближний, пер., рус
Блюхера, ул., рус
Бодянского, ул., рус
Боевая, ул., рус
Болотникова, ул., рус
Больничная, ул., рус
Больничный, ул., рус
Бородинская, ул., рус
Бочарова, ул., рус
Братская, ул., рус
Брестский, пер., рус
Брюллова, ул., рус
Брянская, ул., рус
Бугский, пер., рус
Буденного, ул., рус
Буковинский, пер., рус
Буревестника, ул., рус
Былкина, ул., рус
Вавилова, ул., рус
Вагонная, ул., рус
Ватутина, ул., рус
Великолужская, ул., рус
Вербная, ул., рус
Верный, пер., рус
Веселый, пер., рус
Весенняя, ул., рус
Веснина Академика, ул., рус
Ветренная, ул., рус
Вечерний, пер., рус
Видминна, ул., рус
Винницкая, ул., рус
Виноградная, ул., рус
Винтера Б-Р,, рус
Виражная, ул., рус
Вишневая, ул., рус
Вишневского, ул., рус
Вишни О., ул., рус
Владимирская, ул., рус
Вовчок М., ул., рус
Водный, пер., рус
Водоворотная, ул., рус
Водяная, ул., рус
Военкоматская, ул., рус
Военстрой, ул., рус
Воздушный, пер., рус
Войкова, ул., рус
Вокзальная, ул., рус
Волгоградская, ул., рус
Волгодонская, ул., рус
Вологодская, ул., рус
Вологодский, пер., рус
Володарского, ул., рус
Вольнянский, пер., рус
Воронежская, ул., рус
Воронина, ул., рус
Воронихина, ул., рус
Ворошилова, ул., рус
Воссоединения русаины, ул., рус
Вроцлавская, ул., рус
Вузовская, ул., рус
Выборгская, ул., рус
Высотная, ул., рус
Вятская, ул., рус
Гаврилова, ул., рус
Гагарина, ул., рус
Газетный, пер., рус
Галяпкина, ул., рус
Гарнизонная, ул., рус
Гастелло, ул., рус
Гвардейская, ул., рус
Гвардейский Б-Р,, рус
Генераторная, ул., рус
Героев, ул., рус
Героев Сталинграда, ул., рус
Гималайский, пер., рус
Гладкова, ул., рус
Глазунова, ул., рус
Глиноцементная, ул., рус
Глиссерная, ул., рус
Гоголя, ул., рус
Голядкина, ул., рус
Гончара, ул., рус
Гончарова, ул., рус
Горная, ул., рус
Горького, ул., рус
Готвальда, ул., рус
Грабовского, ул., рус
Гражданская, ул., рус
Гребенки, ул., рус
Грибоедова, ул., рус
Гризодубовой, ул., рус
Громовой, ул., рус
Грузовой, пер., рус
Грушевского, ул., рус
Грязнова, ул., рус
Гудыменко, ул., рус
Давыдова, ул., рус
Дарвина, пер., рус
Дарницкий, пер., рус
Дачная, ул., рус
Дегтярева, ул., рус
Декабрьская, ул., рус
Демократическая, ул., рус
Демьяна Бедного, ул., рус
Деповская, ул., рус
Депутатская, ул., рус
Державина, ул., рус
Джамбула, ул., рус
Дзержинского, ул., рус
Дивизионная, ул., рус
Дивногорская, ул., рус
Димитрова, ул., рус
Днепровка,, рус
Днепровская, ул., рус
Днепровские Пороги, ул., рус
Днепрогэсовская, ул., рус
Днепродзержинская, ул., рус
Днепропетровская, ул., рус
Днепропетровское, шоссе, рус
Днепрорудный, пер., рус
Днепростроевская, ул., рус
Днепрострой-2 Ст.,, рус
Добробутная, ул., рус
Добролюбова, ул., рус
Доватора, ул., рус
Докторская, ул., рус
Долинная, ул., рус
Долиновка,, рус
Донбасская, ул., рус
Донецкая, ул., рус
Дорожный, пер., рус
Дорошенко, ул., рус
Дорошенко П., ул., рус
Достижений, ул., рус
Дробязко, ул., рус
Дружбы, ул., рус
Дружная, ул., рус
Дружный, пер., рус
Дружный Пр-Зд,, рус
Дудыкина, ул., рус
Дунайская, ул., рус
Дундича О., ул., рус
Дыбенко, ул., рус
Евпаторийская, ул., рус
Еднання, ул., рус
Енисейская, ул., рус
Есенина, ул., рус
Железная, ул., рус
Железнодорожная, ул., рус
Жемчужный, пер., рус
Женевский, пер., рус
Жигулевский, пер., рус
Жукова, ул., рус
Жуковского, ул., рус
Заводская, ул., рус
Заднепровская, ул., рус
Залка М., ул., рус
Заозерная, ул., рус
Западная, ул., рус
Запорожская, ул., рус
Запорожский, пер., рус
Запорожского Казачества, ул., рус
Запорожсталевская, ул., рус
Запорожстроевская, ул., рус
Заречная, ул., рус
Заречный, пер., рус
Заря, пер., рус
Зачиняева, ул., рус
Звездный, пер., рус
Звенигородская, ул., рус
Зеленая, ул., рус
Зелинского, ул., рус
Зенитный, пер., рус
Зерновая, ул., рус
Зерновой, пер., рус
Зестафонская, ул., рус
Ивановская, ул., рус
Извилистая, ул., рус
Инженерная, ул., рус
Институтская, ул., рус
Инструментальная, ул., рус
Интернациональная, ул., рус
Искры, ул., рус
Истомина, ул., рус
Историческая, ул., рус
Кавалерийский, пер., рус
Кадровый, пер., рус
Казачья, ул., рус
Калинина, ул., рус
Кальнышевского, ул., рус
Каменогорская, ул., рус
Каменско-Днепровская, ул., рус
Камская, ул., рус
Каневское,, рус
Капустяная, ул., рус
Карбышева, ул., рус
Карельский, пер., рус
Карпенко-Карого, ул., рус
