1- й Староруднянський, пров., укр
10-й Дачний, пров., укр
11-й Дачний, пров., укр
1-й Андріївський, пров., укр
1-й Бердичівський, пров., укр
1-й Березівський, пров., укр
1-й Богунський, пров., укр
1-й Богунський, проїзд, укр
1-й Винокурний, пров., укр
1-й Вишневий, пров., укр
1-й Вільський, пров., укр
1-й Гоголівський, пров., укр
1-й Госпітальний, пров., укр
1-й Далекий, пров., укр
1-й Дачний, пров., укр
1-й Дружби, пров., укр
1-й Житній, пров., укр
1-й Заводський, пров., укр
1-й Завокзальний, пров., укр
1-й Залізничний, пров., укр
1-й Західний, пров., укр
1-й Зелений, пров., укр
1-й Індустріальний, пров., укр
1-й Іподромний, пров., укр
1-й Капітульний, пров., укр
1-й Каракульний, пров., укр
1-й Кар'єрний, пров., укр
1-й Кармелюка, пров., укр
1-й Каховський, пров., укр
1-й Київський, пров., укр
1-й Ковальський, пров., укр
1-й Колективний, пров., укр
1-й Короленка, пров., укр
1-й Корольова, пров., укр
1-й Кривий Брід, пров., укр
1-й Кривий, пров., укр
1-й Крошенський, пров., укр
1-й Кузнечний, пров., укр
1-й Курганний, пров., укр
1-й Ливарний, пров., укр
1-й Лісовий, пров., укр
1-й Луцький, проїзд, укр
1-й Магазинний, пров., укр
1-й Мар'янівський, пров., укр
1-й Матросова, пров., укр
1-й Миру, вул., укр
1-й Миру, пров., укр
1-й Мисливський, пров., укр
1-й Московський, пров., укр
1-й Новогоголівський, пров., укр
1-й Новогоголівський, проїзд, укр
1-й Паровозний, пров., укр
1-й Південний, пров., укр
1-й Польового майдану, проїзд, укр
1-й Рівний, пров., укр
1-й Руднянський, пров., укр
1-й Санаторний, пров., укр
1-й Свободи, пров., укр
1-й Селецький, пров., укр
1-й Сікорського, пров., укр
1-й Сінний, пров., укр
1-й Січових стрільців, пров., укр
1-й Смоківський, пров., укр
1-й Смолянський, пров., укр
1-й Соколовський, пров., укр
1-й Сосновий, пров., укр
1-й Старокиївський, пров., укр
1-й Старокиївський, проїзд, укр
1-й Степовий, пров., укр
1-й Танкістів, пров., укр
1-й Тетерівський, пров., укр
1-й Толстого, пров., укр
1-й Транзитний, пров., укр
1-й Труда, пров., укр
1-й Фабричний, пров., укр
1-й Фруктовий, пров., укр
1-й Хвойний, пров., укр
1-й Хлібний, пров., укр
1-й Хмельовий, пров., укр
1-й Чехова, пров., укр
1-й Шевченківський, пров., укр
1-й Щорса, пров., укр
1-Метеорологічний, пров., укр
2-й Бердичівський, пров., укр
2-й Богунський, пров., укр
2-й Богунський, проїзд, укр
2-й Винокурний, пров., укр
2-й Вишневий, пров., укр
2-й Вільський, пров., укр
2-й Гоголівський, пров., укр
2-й Госпітальний, пров., укр
2-й Гранітний, пров., укр
2-й Далекий, пров., укр
2-й Дачний, пров., укр
2-й Дружби, пров., укр
2-й Житній, пров., укр
2-й Західний, пров., укр
2-й Зелений, пров., укр
2-й Індустріальний, пров., укр
2-й Іподромний, пров., укр
2-й Капітульний, пров., укр
2-й Каракульний, пров., укр
2-й Кар'єрний, пров., укр
2-й Каховський, пров., укр
2-й Київський, пров., укр
2-й Ковальський, пров., укр
2-й Колективний, пров., укр
2-й Короленка, пров., укр
2-й Кривий Брід, пров., укр
2-й Кривий, пров., укр
2-й Крошенський, пров., укр
2-й Курганний, пров., укр
2-й Лісовий, пров., укр
2-й Магазинний, пров., укр
2-й Мар'янівський, пров., укр
2-й Матросова, пров., укр
2-й Метеорологічний, пров., укр
2-й Миру, пров., укр
2-й Мисливський, пров., укр
2-й Новогоголівський, пров., укр
2-й Новогоголівський, проїзд, укр
