Код;Адрес;Широта;Долгота
164564;Ялта, Водовозовых ул, д.123, кв.789;;
169569;Алушта р-н, Гаспринская ул, д.1;;
167762;Алушта р-н, Горная ул, д.55;;
170877;Алушта р-н, Горная, д.846;;
169435;Алушта р-н, Лесная ул., д.33;;
167778;Алушта р-н, Лесная ул., д.73;;
169357;Алушта р-н, Лесная ул., д.757;;
171734;Алушта р-н, Лесная ул., д.969;;
170030;Алушта р-н, Скалистый пер, д.857;;
169951;Алушта р-н, Чатырдагская ул., д.98;;
171750;Алушта р-н, Южный пер., д.425;;
167600;Алушта р-н, Южный пер., д.52, кв.451;;
169647;Алушта р-н, Табачная ул., д.636;;
169501;Алушта р-н, Урожайная ул., д.968;;
171719;Алушта р-н, Буковая ул., д.584;;
171692;Алушта р-н, Виноградаря ул., д.40;;
167791;Алушта р-н, Изобильная ул., д.31;;
167692;Алушта р-н, Кузнечный пер., д.269;;
168035;Алушта р-н, Кузнечный пер., д.346;;
171126;Алушта р-н, Кузнечный пер., д.427;;
169950;Алушта р-н, Кузнечный пер., д.59;;
168784;Алушта р-н, Кузнечный пер., д.647;;
169949;Алушта р-н, Кузнечный пер., д.71;;
167661;Алушта р-н, Лавандовая ул., д.259;;
167480;Алушта р-н, Лавандовая ул., д.30а;;
168772;Алушта р-н, Лавандовая ул., д.746;;
169730;Алушта р-н, Новая ул., д.33;;
167467;Алушта р-н, Новая ул., д.385;;
169761;Алушта р-н, Новая ул., д.39;;
170242;Алушта р-н, Оливковая роща кооп., д.636;;
168642;Алушта р-н, Тихий пер., д.7;;
171177;Алушта р-н, Урочище Мулут ДК, д.526;;
168028;Алушта р-н, Школьная ул, д.946;;
169225;Алушта р-н, Алуштинская ул, д.23;;
171565;Алушта р-н, Алуштинская ул, д.33;;
169237;Алушта р-н, Алуштинская ул, д.958;;
167695;Алушта р-н, Пролетарская ул, д.734;;
167570;Алушта р-н, Алуштинская ул, д.11;;
167448;Алушта р-н, Водоемная ул., д.236;;
169641;Алушта р-н, Озерная ул., д.636;;
168954;Алушта р-н, Табачная ул., д.468;;
168957;Алушта р-н, Табачная ул., д.537;;
168958;Алушта р-н, Табачная ул., д.636;;
168559;Алушта р-н, Фрунзенская ул., д.520;;
168563;Алушта р-н, Фрунзенское шоссе, д.528;;
171402;Алушта р-н, Веселый пер., д.23;;
171445;Алушта р-н, Веселый пер., д.24;;
171456;Алушта р-н, Веселый пер., д.27;;
169333;Алушта р-н, Волшебный пер., д.784;;
169787;Алушта р-н, Восточный мкр., д.33;;
168322;Алушта р-н, Восход кооп., д.373;;
168326;Алушта р-н, Восход кооп., д.637;;
167473;Алушта р-н, Восход кооп., д.639;;
168020;Алушта р-н, Грушевая ул., д.17, кор.а;;
169843;Алушта р-н, Грушовая ул., д.435;;
170175;Алушта р-н, Грушовая ул., д.746;;
167996;Алушта р-н, Грушовая ул., д.753;;
170062;Алушта р-н, Доброй Надежды мкр., д.637;;
170066;Алушта р-н, Доброй Надежды мкр., д.756;;
170073;Алушта р-н, Доброй Надежды мкр., д.846;;
170067;Алушта р-н, Доброй Надежды мкр., д.856;;
170078;Алушта р-н, Доброй Надежды мкр., д.957;;
169352;Алушта р-н, Дружба СТ, д.536;;
168375;Алушта р-н, Межгорье СТ, д.694;;
168991;Алушта р-н, Садовая ул., д.864;;
167655;Алушта р-н, Табачная ул., д.425;;
169338;Алушта р-н, Табачная ул., д.464;;
169342;Алушта р-н, Табачная ул., д.536;;
168001;Алушта р-н, Табачная ул., д.839;;
168543;Алушта р-н, Урожайная ул., д.111;;
167940;Алушта р-н, Урожайная ул., д.843;;
167432;Алушта р-н, А.Дижи ул, д.496;;
168061;Алушта р-н, Гайдукова ул., д.847;;
170985;Алушта р-н, Генеральская ул., д.637;;
168451;Алушта р-н, Генеральская ул., д.670;;
167707;Алушта р-н, Подгорная ул., д.14, кор.б;;
167820;Алушта р-н, Рамазанова ул., д.34;;
169732;Алушта р-н, Рамазанова ул., д.637;;
168440;Алушта р-н, Северная ул., д.375;;
169920;Алушта р-н, Северная ул., д.39;;
167915;Алушта р-н, Северная ул., д.730;;
169550;Алушта р-н, Аптечная ул., д.1;;
169742;Алушта р-н, Виноградаря ул., д.33;;
167482;Алушта р-н, Виноградаря ул., д.723;;
167823;Алушта р-н, Внутреняя ул., д.469;;
166326;Алушта р-н, Внутреняя ул., д.88;;
167789;Алушта р-н, Голубева ул., д.1;;
170318;Алушта р-н, Голубева ул., д.578;;
170921;Алушта р-н, Горная, д.12;;
169947;Алушта р-н, Кооперативная ул., д.15;;
169832;Алушта р-н, Морская ул, д.16, кор.а, кв.999;;
170969;Алушта р-н, Морская ул, д.527;;
170973;Алушта р-н, Морская ул, д.537;;
